"","LATITUDE","LONGITUDE","POPULATION","gdd","precip","TRACT"
"40",30.425484,-87.689711,5316,7085,NA,"011501"
"41",30.384878,-87.672515,10534,7085,NA,"011502"
"42",30.399094,-87.576322,6062,7085,NA,"011601"
"43",30.396358,-87.46355,4895,7378,NA,"011602"
"44",31.973095,-85.162527,3321,6953,5014,"950100"
"45",31.885429,-85.46978,4264,6323,NA,"950200"
"46",31.791194,-85.559413,1638,6323,NA,"950300"
"47",31.684383,-85.588428,4303,6323,NA,"950400"
"48",31.786045,-85.225933,3467,6323,NA,"950500"
"49",31.872596,-85.198798,2099,6953,5014,"950600"
"50",31.893693,-85.166969,1727,6953,5014,"950700"
"51",31.901524,-85.157531,2055,6953,5014,"950800"
"52",31.867091,-85.153992,4583,6953,5014,"950900"
"53",33.102668,-87.179385,2732,5966,5723,"010001"
"54",33.183116,-87.120502,6025,6130,5712,"010002"
"55",32.967289,-87.013522,5391,5966,5723,"010003"
"56",32.943098,-87.18664,8767,5966,5723,"010004"
"57",33.902595,-86.4552,7858,5816,5541,"050101"
"58",33.952721,-86.465562,7050,5816,5541,"050102"
"59",33.993927,-86.551011,3789,5816,5541,"050200"
"60",34.085211,-86.398125,5269,5816,5541,"050300"
"61",34.165386,-86.494918,4451,5828,5333,"050400"
"62",34.033609,-86.62909,7329,5816,5541,"050500"
"63",33.864323,-86.890944,3922,5763,5409,"050601"
"64",33.887976,-86.779335,8923,5763,5409,"050602"
"65",33.84612,-86.640721,8731,5763,5409,"050700"
"66",32.093127,-85.527085,1434,6348,5542,"952100"
"67",32.140414,-85.704199,7102,6348,5542,"952200"
"68",32.058378,-85.79717,2378,6348,5542,"952500"
"69",31.870012,-86.608101,2439,6378,5736,"952700"
"70",31.83668,-86.630574,1394,6378,5736,"952800"
"71",31.838059,-86.655732,2180,6378,5736,"952900"
"72",31.855815,-86.776219,1469,6378,5736,"953000"
"73",31.812831,-86.629681,3023,6378,5736,"953100"
"74",31.801204,-86.554559,4327,6378,5736,"953200"
"75",31.714643,-86.721785,1774,6378,5736,"953300"
"76",31.62703,-86.75912,2931,6378,5736,"953400"
"77",31.568271,-86.672824,1410,6378,5736,"953500"
"78",33.666928,-85.817462,3104,6092,NA,"000200"
"79",33.676742,-85.832171,2951,6092,NA,"000300"
"80",33.676301,-85.856305,2812,6092,NA,"000400"
"81",33.662885,-85.843565,1814,6092,NA,"000500"
"82",33.641593,-85.836033,2191,6092,NA,"000600"
"83",33.719465,-85.814386,2715,6092,NA,"000700"
"84",33.648795,-85.824029,1379,6092,NA,"000800"
"85",33.646823,-85.802387,3362,6092,NA,"000900"
"86",33.630911,-85.786379,5792,6092,NA,"001000"
"87",33.599437,-85.801298,6565,6092,NA,"001100"
"88",33.611663,-85.844841,3482,6092,NA,"001201"
"89",33.594757,-85.883955,4318,6092,NA,"001202"
"90",33.644827,-85.871703,2211,6092,NA,"001300"
"91",33.65811,-85.895469,3731,6092,NA,"001400"
"92",33.608939,-85.954252,5198,6092,NA,"001500"
"93",33.701937,-85.848458,3791,6092,NA,"001600"
"94",33.723763,-85.842003,6329,6092,NA,"001700"
"95",33.758351,-85.808425,6919,6092,NA,"001800"
"96",33.691589,-85.70267,7335,5632,NA,"002000"
"97",33.824312,-85.770903,3992,5632,NA,"002101"
"98",33.824309,-85.751814,3411,5632,NA,"002102"
"99",33.7985,-85.762496,6801,5632,NA,"002103"
"100",33.910168,-85.60746,3652,5632,NA,"002200"
"101",33.934092,-85.632725,3843,5632,NA,"002300"
"102",33.861434,-85.787394,4518,5974,NA,"002400"
"103",33.776379,-85.892641,7069,6092,NA,"002501"
"104",33.878885,-85.888848,4661,5974,NA,"002502"
"105",33.778613,-86.030642,4615,6092,NA,"002600"
"106",33.621536,-85.936196,6,6092,NA,"981901"
"107",33.720797,-85.988224,5,6092,NA,"981902"
"108",33.042568,-85.368517,3619,5856,5296,"953800"
"109",32.888106,-85.208671,2900,5920,NA,"953900"
"110",32.879446,-85.439946,6669,5934,5455,"954000"
"111",32.844064,-85.246649,3257,5920,NA,"954200"
"112",32.79142,-85.219691,4708,5920,NA,"954300"
"113",32.846593,-85.202059,995,5920,NA,"954400"
"114",32.859486,-85.201411,3804,5920,NA,"954500"
"115",32.835666,-85.175074,3411,5920,NA,"954600"
"116",32.780899,-85.17399,4852,5920,NA,"954700"
"117",34.2254,-85.559713,3332,5550,NA,"955701"
"118",34.333707,-85.573688,3872,5301,5597,"955702"
"119",34.209134,-85.761692,5561,5353,NA,"955800"
"120",34.082177,-85.665703,4235,5974,NA,"955900"
"121",34.164186,-85.662789,4017,5353,NA,"956000"
"122",34.0899,-85.512579,4972,5550,NA,"956100"
"123",32.823048,-86.632699,5219,6035,5788,"060101"
"124",32.86022,-86.647036,6303,6035,5788,"060102"
"125",32.856167,-86.563229,2807,6035,5788,"060200"
"126",32.964592,-86.617,3808,6362,NA,"060300"
"127",32.927237,-86.724862,5466,6362,NA,"060401"
"128",32.999144,-86.794196,8776,6362,NA,"060402"
"129",32.774685,-86.874586,2902,6035,5788,"060500"
"130",32.78419,-86.737575,3261,6035,5788,"060600"
"131",32.757253,-86.552043,5101,6035,5788,"060700"
"132",32.224848,-88.231547,3184,6407,5608,"956700"
"133",32.084228,-88.212449,4423,6478,NA,"956800"
"134",31.921932,-88.323586,3879,6478,NA,"956900"
"135",31.765659,-88.306798,2373,6627,NA,"957000"
"136",31.793785,-87.720847,1760,6639,5781,"957500"
"137",31.922095,-87.882812,998,6639,5781,"957601"
"138",31.904508,-87.738503,5515,6639,5781,"957602"
"139",31.80458,-88.064694,1329,6718,6018,"957700"
"140",31.664211,-87.748074,5488,6558,5948,"957800"
"141",31.580471,-87.919049,3493,6718,6018,"957901"
"142",31.520607,-87.886666,4230,6718,6018,"957902"
"143",31.542715,-87.797788,1289,6718,6018,"958001"
"144",31.441264,-87.772891,1731,6718,6018,"958002"
"145",33.350544,-85.738552,5324,5747,5815,"958900"
"146",33.284337,-85.84714,3224,5747,5815,"959000"
"147",33.200186,-85.777916,2904,5747,5815,"959100"
"148",33.173751,-86.009797,2480,5898,5425,"959200"
"149",33.793105,-85.433941,2684,5632,NA,"959500"
"150",33.651223,-85.570646,4202,5632,NA,"959600"
"151",33.558877,-85.607065,3419,5632,NA,"959700"
"152",33.568458,-85.377677,4667,5632,NA,"959800"
"153",31.555926,-86.032109,2057,6651,5205,"010100"
"154",31.560525,-85.88813,1841,6651,5205,"010200"
"155",31.396056,-85.903094,4258,7058,5431,"010300"
"156",31.398845,-86.030225,2152,7058,5431,"010400"
"157",31.422089,-86.099287,4558,7058,5431,"010500"
"158",31.263754,-86.160337,1561,7058,5431,"010600"
"159",31.267832,-86.002082,2286,7058,5431,"010700"
"160",31.242741,-85.857334,2840,7058,5431,"010800"
"161",31.30065,-85.862494,2117,7058,5431,"010900"
"162",31.320275,-85.880744,3526,7058,5431,"011000"
"163",31.326636,-85.851701,2026,7058,5431,"011100"
"164",31.353268,-85.842317,8036,7058,5431,"011201"
"165",31.328237,-85.811893,8530,7058,5431,"011202"
"166",31.307577,-85.834333,4160,7058,5431,"011300"
"167",34.767585,-87.682056,3467,5862,NA,"020100"
"168",34.76634,-87.698792,1957,5862,NA,"020200"
"169",34.750754,-87.69922,2032,5862,NA,"020300"
"170",34.73918,-87.724382,1530,5862,NA,"020400"
"171",34.727826,-87.717555,5221,5862,NA,"020500"
"172",34.727825,-87.688795,4128,5862,NA,"020600"
"173",34.725208,-87.627549,6103,5862,NA,"020701"
"174",34.747097,-87.643749,5175,5862,NA,"020703"
"175",34.746096,-87.666238,4321,5862,NA,"020704"
"176",34.774589,-87.511374,4487,5862,NA,"020801"
"177",34.64951,-87.55036,3766,5862,NA,"020802"
"178",34.621584,-87.68912,4327,5615,5662,"020901"
"179",34.676977,-87.792979,3972,5862,NA,"020902"
"180",34.744365,-87.989717,3942,5356,NA,"021000"
"181",31.566229,-87.009381,1808,6713,NA,"960200"
"182",31.376225,-87.220729,1731,6730,NA,"960300"
"183",31.345217,-87.045989,3251,6730,NA,"960400"
"184",31.449638,-86.970927,1771,6713,NA,"960500"
"185",31.416676,-86.883468,4667,6713,NA,"960600"
"186",33.017405,-86.050486,3956,6113,5562,"961000"
"187",33.052684,-86.261848,3927,5898,5425,"961100"
"188",32.848615,-86.153482,3656,6049,5658,"961200"
"189",31.414036,-86.417599,4133,6605,5997,"961600"
"190",31.378662,-86.599177,4032,6605,5997,"961700"
"191",31.286223,-86.497596,3129,6605,5997,"961800"
"192",31.285125,-86.463932,2127,6605,5997,"961900"
"193",31.326487,-86.470913,3917,6605,5997,"962000"
"194",31.315247,-86.498117,2011,6605,5997,"962100"
"195",31.295007,-86.379889,3279,6605,5997,"962300"
"196",31.31432,-86.239905,3144,6605,5997,"962400"
"197",31.288794,-86.264969,1524,6605,5997,"962500"
"198",31.273172,-86.27291,1517,6605,5997,"962600"
"199",31.268578,-86.245538,1686,6605,5997,"962700"
"200",31.221156,-86.280662,1736,6605,5997,"962800"
"201",31.15871,-86.552449,1846,6605,5997,"962900"
"202",31.020099,-86.339433,3684,6954,6291,"963000"
"203",31.895674,-86.26353,1925,6022,NA,"963400"
"204",31.948367,-86.37222,1903,6022,NA,"963500"
"205",31.740069,-86.340612,3180,6022,NA,"963600"
"206",31.716549,-86.245139,3809,6022,NA,"963700"
"207",31.561522,-86.335322,1681,6605,5997,"963800"
"208",31.556352,-86.238145,1408,6022,NA,"963900"
"209",34.269506,-86.564397,5582,5828,5333,"964100"
"210",34.23685,-86.732455,7373,5434,5862,"964200"
"211",34.267002,-86.840888,5001,5434,5862,"964300"
"212",34.262996,-86.935298,4112,5572,5404,"964400"
"213",34.221922,-87.048311,4180,5572,5404,"964500"
"214",34.16379,-86.96505,4007,5732,5913,"964600"
"215",34.146367,-86.888114,4643,5732,5913,"964700"
"216",34.183523,-86.859428,4289,5732,5913,"964800"
"217",34.195742,-86.833643,6683,5732,5913,"964900"
"218",34.159246,-86.839288,6071,5732,5913,"965000"
"219",34.118882,-86.798832,3578,5732,5913,"965100"
"220",34.138816,-86.735732,2309,5732,5913,"965200"
"221",34.166121,-86.636945,4539,5434,5862,"965300"
"222",34.066509,-86.792292,3310,5732,5913,"965401"
"223",34.038902,-86.759682,4189,5732,5913,"965402"
"224",34.026335,-86.927781,5631,5732,5913,"965500"
"225",34.06522,-87.045198,2257,5732,5913,"965600"
"226",33.956045,-87.025536,2652,5801,5967,"965700"
"227",31.348216,-85.719445,4642,7058,5431,"020000"
"228",31.556754,-85.663793,3823,7058,5431,"020100"
"229",31.476968,-85.470143,2067,6998,NA,"020200"
"230",31.420739,-85.574212,2396,6998,NA,"020300"
"231",31.482744,-85.643103,2542,6998,NA,"020400"
"232",31.457127,-85.627788,2049,6998,NA,"020500"
"233",31.450199,-85.642929,3518,7058,5431,"020700"
"234",31.396734,-85.67031,3361,7058,5431,"020801"
"235",31.427096,-85.649092,4351,7058,5431,"020802"
"236",31.318687,-85.772433,4893,7058,5431,"021101"
"237",31.305843,-85.706342,4387,7058,5431,"021102"
"238",31.262603,-85.730229,2696,7058,5431,"021200"
"239",31.301051,-85.566276,4034,6998,NA,"021300"
"240",31.3208,-85.474808,5492,6998,NA,"021400"
"241",32.484486,-86.958775,6753,6657,NA,"956100"
"242",32.410532,-87.100481,2550,6657,NA,"956201"
"243",32.503077,-87.057068,2327,6657,NA,"956202"
"244",32.438792,-87.033836,3791,6657,NA,"956300"
"245",32.426781,-87.01789,3150,6657,NA,"956400"
"246",32.414184,-87.008389,3811,6657,NA,"956500"
"247",32.416951,-87.029135,3811,6657,NA,"956600"
"248",32.405417,-87.069612,1855,6657,NA,"956701"
"249",32.40077,-87.047689,1602,6657,NA,"956702"
"250",32.423219,-87.04994,2789,6657,NA,"956800"
"251",32.316226,-87.229859,2804,6379,NA,"956900"
"252",32.201948,-87.168843,1274,6629,5585,"957000"
"253",32.284332,-86.985988,1345,6657,NA,"957100"
"254",32.375519,-87.019495,1754,6657,NA,"957200"
"255",32.354478,-86.969699,4204,6657,NA,"957300"
"256",34.734617,-85.641989,5937,5301,5597,"960100"
"257",34.618308,-85.72589,3530,5301,5597,"960200"
"258",34.526436,-85.859108,6908,5301,5597,"960300"
"259",34.504586,-85.798426,6483,5301,5597,"960400"
"260",34.435851,-85.953289,5373,5353,NA,"960500"
"261",34.34815,-86.011642,6393,5353,NA,"960600"
"262",34.262089,-86.046299,8628,5353,NA,"960700"
"263",34.268667,-85.858428,4498,5353,NA,"960800"
"264",34.39954,-85.766654,3809,5353,NA,"960900"
"265",34.394213,-85.701978,3914,5301,5597,"961000"
"266",34.455487,-85.730922,3258,5301,5597,"961100"
"267",34.508986,-85.687182,2107,5301,5597,"961200"
"268",34.464406,-85.676714,5967,5301,5597,"961300"
"269",34.57642,-85.604368,4304,5301,5597,"961400"
"270",32.613289,-86.332966,10104,6049,5658,"030100"
"271",32.68683,-86.209776,4757,6049,5658,"030200"
"272",32.70665,-85.977823,2464,6084,NA,"030300"
"273",32.542791,-85.94687,7712,6583,5321,"030400"
"274",32.62987,-86.038446,4695,6084,NA,"030500"
"275",32.59165,-86.180929,7405,6084,NA,"030600"
"276",32.46525,-86.123752,6257,6583,5321,"030701"
"277",32.519692,-86.158886,3678,6583,5321,"030702"
"278",32.554208,-86.230727,5784,6084,NA,"030800"
"279",32.549611,-86.389146,6234,6708,5307,"030901"
"280",32.547457,-86.332293,3699,6708,5307,"030902"
"281",32.505408,-86.384251,6516,6708,5307,"031000"
"282",32.509059,-86.357015,4221,6708,5307,"031100"
"283",32.504126,-86.330469,1809,6708,5307,"031200"
"284",32.458486,-86.382442,3968,6708,5307,"031300"
"285",31.089048,-87.002706,5955,6962,NA,"969800"
"286",31.117859,-87.138001,4361,6773,7073,"969900"
"287",31.154869,-87.064908,4516,6773,7073,"970100"
"288",31.117628,-87.06529,1739,6773,7073,"970200"
"289",31.04375,-87.269502,3632,6962,NA,"970300"
"290",31.15171,-87.483935,5744,6900,NA,"970400"
"291",31.043966,-87.510802,4819,6900,NA,"970500"
"292",31.039023,-87.468907,4035,6900,NA,"970600"
"293",31.014907,-87.474586,3518,6900,NA,"970700"
"294",34.034468,-85.974094,3660,5974,NA,"000200"
"295",34.025202,-86.010306,2684,5974,NA,"000300"
"296",34.047418,-86.017903,3866,5974,NA,"000400"
"297",34.028607,-86.048443,1814,5974,NA,"000500"
"298",34.016452,-86.060463,1964,5974,NA,"000600"
"299",34.023251,-86.039091,1376,5974,NA,"000700"
"300",34.01901,-86.023234,1089,5974,NA,"000800"
"301",34.003572,-86.03979,2698,5974,NA,"000900"
"302",34.011234,-86.020204,1286,5974,NA,"001000"
"303",33.962352,-86.01041,4729,5974,NA,"001100"
"304",34.008094,-86.012221,3546,5974,NA,"001200"
"305",34.004235,-85.985799,2571,5974,NA,"001300"
"306",33.986253,-85.980731,3524,5974,NA,"001600"
"307",33.981873,-85.955956,1638,5974,NA,"001700"
"308",34.046371,-86.074285,2059,5974,NA,"010100"
"309",34.000678,-86.107501,5518,5974,NA,"010200"
"310",34.013834,-86.157663,2918,5974,NA,"010300"
"311",33.961422,-86.043548,3471,5974,NA,"010401"
"312",33.93336,-86.072945,5504,5974,NA,"010402"
"313",33.903926,-86.028965,8191,5974,NA,"010501"
"314",33.950777,-85.93455,4988,5974,NA,"010502"
"315",33.995645,-85.893125,5295,5974,NA,"010601"
"316",34.009139,-85.815016,3984,5974,NA,"010602"
"317",34.063083,-85.904987,3769,5974,NA,"010700"
"318",34.113575,-85.946619,2953,5974,NA,"010800"
"319",34.133172,-86.019172,1721,5974,NA,"010900"
"320",34.163572,-86.087216,4613,5353,NA,"011001"
"321",34.126222,-86.151556,4765,5974,NA,"011002"
"322",34.062026,-86.263621,5302,5816,5541,"011100"
"323",34.000496,-85.969384,2934,5974,NA,"011200"
"324",33.817641,-87.662425,1469,5627,NA,"020000"
"325",33.86034,-87.809726,3669,5627,NA,"020100"
"326",33.69965,-87.856062,4499,6174,5550,"020200"
"327",33.661658,-87.81373,4054,6174,5550,"020300"
"328",33.658155,-87.61624,3550,6174,5550,"020400"
"329",34.520231,-87.6625,4008,5615,5662,"972900"
"330",34.51777,-87.723941,5373,5615,5662,"973000"
"331",34.490677,-87.832658,2378,5615,5662,"973100"
"332",34.50929,-87.745161,3919,5615,5662,"973200"
"333",34.457456,-87.689518,3452,5615,5662,"973300"
"334",34.464189,-88.121175,2652,5356,NA,"973400"
"335",34.438573,-88.092893,2231,5615,5662,"973500"
"336",34.36054,-88.024387,1795,5724,5972,"973600"
"337",34.361853,-87.692588,5896,6210,NA,"973700"
"338",31.103453,-86.070458,5098,6927,NA,"050100"
"339",31.16237,-85.884096,2323,6927,NA,"050200"
"340",31.042578,-85.888742,5412,6927,NA,"050300"
"341",31.08137,-85.720754,5907,6927,NA,"050400"
"342",31.113694,-85.603789,4288,6927,NA,"050500"
"343",31.112182,-85.522491,3762,6998,NA,"050600"
"344",32.974155,-88.000723,1814,6397,5266,"060000"
"345",32.863977,-87.888899,4410,6397,5266,"060100"
"346",32.685807,-87.929586,2821,6195,NA,"060200"
"347",32.979322,-87.615112,3534,6692,5495,"040000"
"348",32.877595,-87.702836,1582,6841,NA,"040100"
"349",32.77388,-87.540054,1590,6841,NA,"040200"
"350",32.751221,-87.710781,2093,6841,NA,"040300"
"351",32.690061,-87.605914,5399,6841,NA,"040400"
"352",32.543523,-87.617065,1562,6841,NA,"040500"
"353",31.597839,-85.327326,1910,6998,NA,"030100"
"354",31.562529,-85.254107,2962,6998,NA,"030200"
"355",31.637578,-85.1477,3093,6998,NA,"030300"
"356",31.434261,-85.328629,1842,6998,NA,"030400"
"357",31.349471,-85.328095,5951,6998,NA,"030500"
"358",31.402135,-85.166969,1544,6998,NA,"030600"
"359",31.227597,-85.571848,4949,6998,NA,"040100"
"360",31.223197,-85.463397,9001,6998,NA,"040201"
"361",31.250402,-85.456388,8142,6998,NA,"040202"
"362",31.254508,-85.41246,3928,6998,NA,"040301"
"363",31.271691,-85.434438,3589,6998,NA,"040302"
"364",31.234725,-85.417885,2484,6998,NA,"040400"
"365",31.219327,-85.418812,3458,6998,NA,"040500"
"366",31.228752,-85.399822,2471,6998,NA,"040600"
"367",31.208898,-85.410782,2662,6998,NA,"040700"
"368",31.176296,-85.42801,7774,6998,NA,"040800"
"369",31.189016,-85.365089,4657,6998,NA,"040900"
"370",31.20832,-85.376112,5145,6998,NA,"041000"
"371",31.194714,-85.394614,3849,6998,NA,"041100"
"372",31.215729,-85.392267,2539,6998,NA,"041200"
"373",31.227223,-85.370332,3093,6998,NA,"041400"
"374",31.252305,-85.383108,4173,6998,NA,"041500"
"375",31.268507,-85.299605,5377,6998,NA,"041600"
"376",31.27801,-85.135043,1402,6998,NA,"041700"
"377",31.09399,-85.130332,2305,7311,NA,"041800"
"378",31.18364,-85.260742,7572,6998,NA,"041900"
"379",31.08602,-85.311662,5683,7311,NA,"042000"
"380",31.117171,-85.438244,7294,6998,NA,"042100"
"381",34.870391,-85.660401,6749,5331,NA,"950100"
"382",34.943732,-85.729594,3516,5331,NA,"950200"
"383",34.865205,-85.859685,5897,5331,NA,"950300"
"384",34.831561,-86.185953,2119,5604,5694,"950400"
"385",34.670863,-86.246473,3518,5604,5694,"950500"
"386",34.731558,-86.037808,5951,5604,5694,"950600"
"387",34.629825,-86.087091,4272,5604,5694,"950700"
"388",34.667073,-86.034051,4059,5604,5694,"950800"
"389",34.647456,-86.009658,5613,5604,5694,"950900"
"390",34.690971,-85.798045,4438,5301,5597,"951000"
"391",34.576765,-85.95005,7095,5604,5694,"951100"
"392",33.579067,-86.72257,3042,6292,NA,"000100"
"393",33.543834,-86.753862,2735,6292,NA,"000300"
"394",33.564104,-86.776474,3338,6292,NA,"000400"
"395",33.541655,-86.768956,2864,6292,NA,"000500"
"396",33.554684,-86.80388,2577,6292,NA,"000700"
"397",33.551638,-86.826924,3859,6292,NA,"000800"
"398",33.54119,-86.878862,5355,6292,NA,"001100"
"399",33.529113,-86.864392,2876,6292,NA,"001200"
"400",33.526543,-86.834971,2181,6292,NA,"001400"
"401",33.530619,-86.819466,3189,6292,NA,"001500"
"402",33.537359,-86.803795,3390,6292,NA,"001600"
"403",33.5551,-86.737945,1894,6292,NA,"001902"
"404",33.558379,-86.719316,3885,6292,NA,"002000"
"405",33.56638,-86.71366,3186,6292,NA,"002100"
"406",33.552417,-86.727612,2630,6292,NA,"002200"
"407",33.540576,-86.728847,2936,6292,NA,"002303"
"408",33.533654,-86.746384,2952,6292,NA,"002305"
"409",33.523357,-86.749389,3259,6292,NA,"002306"
"410",33.525117,-86.77436,3629,6292,NA,"002400"
"411",33.51969,-86.807696,3992,6292,NA,"002700"
"412",33.514815,-86.834056,2064,6292,NA,"002900"
"413",33.511772,-86.857519,3779,6292,NA,"003001"
"414",33.512492,-86.844279,2203,6292,NA,"003002"
"415",33.505708,-86.874401,3637,6292,NA,"003100"
"416",33.509778,-86.886557,931,6292,NA,"003200"
"417",33.514817,-86.889982,947,6292,NA,"003300"
"418",33.503999,-86.901587,2477,6130,5712,"003400"
"419",33.504948,-86.922879,2795,6130,5712,"003500"
"420",33.48505,-86.898167,4683,6130,5712,"003600"
"421",33.496699,-86.890324,5063,6292,NA,"003700"
"422",33.479739,-86.888714,5409,6130,5712,"003802"
"423",33.486014,-86.868874,4199,6292,NA,"003803"
"424",33.497355,-86.867016,1783,6292,NA,"003900"
"425",33.495015,-86.851994,3772,6292,NA,"004000"
"426",33.499104,-86.830101,2341,6292,NA,"004200"
"427",33.502612,-86.80267,5003,6292,NA,"004500"
"428",33.506503,-86.782747,3480,6292,NA,"004701"
"429",33.512568,-86.769768,2944,6292,NA,"004702"
"430",33.49973,-86.784046,1861,6292,NA,"004800"
"431",33.498295,-86.792484,1167,6292,NA,"004901"
"432",33.493438,-86.800983,3146,6292,NA,"004902"
"433",33.488287,-86.814253,3482,6292,NA,"005000"
"434",33.494484,-86.835188,1507,6292,NA,"005101"
"435",33.486153,-86.832552,2587,6292,NA,"005103"
"436",33.47544,-86.833988,3648,6292,NA,"005104"
"437",33.479207,-86.8563,3740,6292,NA,"005200"
"438",33.576252,-86.696985,3463,6292,NA,"005302"
"439",33.570857,-86.804204,2167,6292,NA,"005500"
"440",33.520809,-86.725514,4578,6292,NA,"005600"
"441",33.463313,-86.887911,2372,6130,5712,"005701"
"442",33.470555,-86.873365,3413,6130,5712,"005702"
"443",33.477361,-86.815308,4216,6292,NA,"005800"
"444",33.597705,-86.681723,4950,6292,NA,"005903"
"445",33.605137,-86.701576,5174,6292,NA,"005905"
"446",33.614082,-86.668308,2096,5763,5409,"005907"
"447",33.621944,-86.679125,4101,5763,5409,"005908"
"448",33.610861,-86.719669,2539,6292,NA,"005909"
"449",33.632392,-86.715593,5234,5763,5409,"005910"
"450",33.454096,-86.99776,5289,6130,5712,"010001"
"451",33.425128,-86.988579,4932,6130,5712,"010002"
"452",33.417774,-86.951044,2007,6130,5712,"010100"
"453",33.399979,-86.962933,2743,6130,5712,"010200"
"454",33.392202,-86.949389,2685,6130,5712,"010301"
"455",33.406645,-86.937419,4117,6130,5712,"010302"
"456",33.382591,-86.960568,3765,6130,5712,"010401"
"457",33.379134,-86.978665,1855,6130,5712,"010402"
"458",33.429033,-86.920775,1628,6130,5712,"010500"
"459",33.481401,-86.911094,6266,6130,5712,"010602"
"460",33.467616,-86.923498,2437,6130,5712,"010603"
"461",33.478438,-86.808002,2218,6292,NA,"010701"
"462",33.476337,-86.796997,4484,6292,NA,"010702"
"463",33.476048,-86.779928,2304,6292,NA,"010703"
"464",33.461092,-86.800568,4892,6292,NA,"010704"
"465",33.466364,-86.8117,3487,6292,NA,"010705"
"466",33.451268,-86.835029,4880,6292,NA,"010706"
"467",33.503042,-86.757272,5792,6292,NA,"010801"
"468",33.491738,-86.758271,3448,6292,NA,"010802"
"469",33.517282,-86.711899,6514,6292,NA,"010803"
"470",33.474613,-86.739082,2984,6292,NA,"010804"
"471",33.501619,-86.704783,7367,6292,NA,"010805"
"472",33.577331,-86.768516,4989,6292,NA,"010900"
"473",33.540362,-86.556167,5663,6292,NA,"011001"
"474",33.551849,-86.556284,2171,6292,NA,"011002"
"475",33.633923,-86.649422,7903,5763,5409,"011104"
"476",33.608823,-86.591251,10433,5763,5409,"011107"
"477",33.617277,-86.626148,4548,5763,5409,"011108"
"478",33.643199,-86.586337,4123,5763,5409,"011109"
"479",33.70904,-86.605388,5677,5763,5409,"011110"
"480",33.675982,-86.602475,8018,5763,5409,"011111"
"481",33.685739,-86.66493,2087,5763,5409,"011205"
"482",33.7346,-86.649509,5686,5763,5409,"011206"
"483",33.66093,-86.672517,5010,5763,5409,"011207"
"484",33.66847,-86.649847,3975,5763,5409,"011208"
"485",33.6557,-86.692162,3221,5763,5409,"011209"
"486",33.668056,-86.695045,3820,5763,5409,"011210"
"487",33.755936,-86.706792,3621,5763,5409,"011301"
"488",33.77018,-86.788251,6267,5763,5409,"011302"
"489",33.808534,-86.856538,6581,5763,5409,"011400"
"490",33.738538,-86.9954,5902,5763,5409,"011500"
"491",33.672465,-86.901661,4027,6292,NA,"011600"
"492",33.646962,-86.836948,9111,6292,NA,"011703"
"493",33.703309,-86.847582,3984,5763,5409,"011704"
"494",33.650795,-86.796718,7695,6292,NA,"011705"
"495",33.699234,-86.738394,2394,5763,5409,"011706"
"496",33.640869,-86.669309,7512,5763,5409,"011802"
"497",33.629287,-86.696189,4802,5763,5409,"011803"
