"","station","grdd","gdd","qual","lat","long"
"149","USC00022140","5507S",5507,"S",31.3456,-110.2542
"150","USC00022329","4153R",4153,"R",34.2097,-112.3453
"151","USC00022434","7754R",7754,"R",32.9711,-113.4981
"152","USC00022527","4201R",4201,"R",35.2947,-113.3664
"153","USC00022659","6627R",6627,"R",31.345,-109.5394
"154","USC00022754","5989S",5989,"S",32.7481,-109.1214
"155","USC00022790","8470R",8470,"R",33.6133,-114.4706
"156","USC00022807","7612R",7612,"R",32.7819,-111.5186
"157","USC00023009","2780R",2780,"R",35.1611,-111.7311
"158","USC00023027","7870R",7870,"R",33.0364,-111.3881
"159","USC00023150","6407S",6407,"S",33.0094,-109.9855
"160","USC00023160","2622S",2622,"S",35.2681,-111.7428
"161","USC00023190","7768S",7768,"S",33.6028,-111.7131
"162","USC00023303","3754R",3754,"R",35.7164,-109.5661
"163","USC00023393","8276S",8276,"S",32.9481,-112.7131
"164","USC00023505","5776R",5776,"R",33.3767,-110.7711
"165","USC00023596","3269S",3269,"S",36.0528,-112.1503
"166","USC00023668","7262R",7262,"R",31.8931,-110.9978
"167","USC00023683","2348R",2348,"R",34.0219,-109.4519
"168","USC00023828","2560R",2560,"R",34.7433,-111.4139
"169","USC00024053","5519R",5519,"R",34.47,-112.8881
"170","USC00024089","4665S",4665,"S",34.9094,-110.1544
"171","USC00024453","5214S",5214,"S",34.7522,-112.1114
"172","USC00024586","3837R",3837,"R",35.8111,-110.1917
"173","USC00024645","5689R",5689,"R",35.2,-114.0167
"174","USC00024675","4205R",4205,"R",31.96,-111.5972
"175","USC00024686","4061R",4061,"R",35.55,-109.7
"176","USC00024702","8418S",8418,"S",33.2742,-113.9653
"177","USC00024759","8478R",8478,"R",34.45,-114.3667
"178","USC00024761","8385R",8385,"R",34.5031,-114.3603
"179","USC00024829","8123R",8123,"R",33.3369,-112.1472
"180","USC00024849","5880R",5880,"R",36.8644,-111.6022
"181","USC00024977","7919R",7919,"R",33.4992,-112.3631
"182","USC00025129","3609R",3609,"R",36.4192,-109.2269
"183","USC00025270","7717C",7717,"C",33.1139,-112.0303
"184","USC00025412","2905S",2905,"S",34.1142,-109.8589
"185","USC00025512","6694R",6694,"R",33.4044,-110.87
"186","USC00025635","5965S",5965,"S",34.6106,-111.8381
"187","USC00025665","4697R",4697,"R",36.9853,-110.12
"188","USC00025700","7869R",7869,"R",33.5544,-111.4425
"189","USC00025780","3027R",3027,"R",34.9364,-111.6392
"190","USC00025924","6156S",6156,"S",31.4553,-110.9681
"191","USC00026037","4729R",4729,"R",34.9589,-111.7553
"192","USC00026119","5768R",5768,"R",32.6025,-110.7344
"193","USC00026132","7716S",7716,"S",31.9556,-112.8003
"194","USC00026180","5060S",5060,"S",36.9208,-111.4483
"195","USC00026250","8302R",8302,"R",34.1547,-114.2897
"196","USC00026353","5800R",5800,"R",31.9356,-109.8378
"197","USC00026468","4656S",4656,"S",34.7994,-109.885
"198","USC00026471","6919S",6919,"S",36.1383,-112.0958
"199","USC00026513","7885R",7885,"R",32.6464,-111.4017
"200","USC00026597","3322R",3322,"R",34.1167,-109.9333
"201","USC00026616","4460S",4460,"S",36.8586,-112.7386
"202","USC00026653","4576R",4576,"R",34.0989,-110.9442
"203","USC00026716","4494S",4494,"S",31.8828,-109.2058
"204","USC00026796","4442R",4442,"R",34.5706,-112.4322
"205","USC00026840","6562R",6562,"R",33.8556,-111.3064
"206","USC00026865","8206R",8206,"R",33.665,-114.2272
"207","USC00027281","6853S",6853,"S",33.6731,-111.1508
"208","USC00027370","7707R",7707,"R",33.0722,-111.7661
"209","USC00027390","6355S",6355,"S",32.815,-109.6808
"210","USC00027435","4406S",4406,"S",34.5172,-109.4028
"211","USC00027480","6811R",6811,"R",33.1819,-110.5261
"212","USC00027488","4224R",4224,"R",35.2239,-109.3222
"213","USC00027560","6085R",6085,"R",32.2714,-109.2256
"214","USC00027593","6470R",6470,"R",31.7625,-110.8464
"215","USC00027619","6333R",6333,"R",31.4831,-111.5436
"216","USC00027625","6280R",6280,"R",31.5717,-111.5056
"217","USC00027708","5764R",5764,"R",34.8956,-111.7644
"218","USC00027716","4556S",4556,"S",35.3322,-112.8797
"219","USC00027855","4027S",4027,"S",34.2639,-110.0075
"220","USC00027880","6205R",6205,"R",31.5553,-110.2847
"221","USC00028012","4418C",4418,"C",34.5081,-110.0839
"222","USC00028018","4177R",4177,"R",34.5,-110.3333
"223","USC00028112","7549R",7549,"R",33.3814,-112.07
"224","USC00028162","3749R",3749,"R",34.1311,-109.275
"225","USC00028214","7508R",7508,"R",33.5575,-111.5358
"226","USC00028329","3086S",3086,"S",35.3694,-111.5436
"227","USC00028348","7566R",7566,"R",33.3003,-111.0972
"228","USC00028396","7971S",7971,"S",32.7225,-113.9192
"229","USC00028468","4616R",4616,"R",36.9233,-109.09
"230","USC00028499","7758R",7758,"R",33.4258,-111.9217
"231","USC00028516","7451R",7451,"R",36.03,-114.3289
"232","USC00028619","6123S",6123,"S",31.7119,-110.0686
"233","USC00028641","7765R",7765,"R",33.4203,-112.86
"234","USC00028792","4781R",4781,"R",36.1306,-111.2436
"235","USC00028795","7503R",7503,"R",32.2542,-111.1961
"236","USC00028796","7426R",7426,"R",32.2817,-110.9442
"237","USC00028800","7254R",7254,"R",32.25,-110.8333
"238","USC00028815","7635S",7635,"S",32.2292,-110.9536
"239","USC00028817","7573R",7573,"R",32.2581,-111.0053
"240","USC00028865","6350S",6350,"S",31.5678,-111.0497
"241","USC00028904","6018R",6018,"R",34.7706,-112.0264
"242","USC00029114","5545R",5545,"R",36.9953,-111.4914
"243","USC00029158","4271S",4271,"S",34.9281,-112.8097
"244","USC00029271","4820R",4820,"R",33.8214,-109.9839
"245","USC00029287","6663S",6663,"S",33.9792,-112.7403
"246","USC00029309","6657R",6657,"R",34.7061,-113.6136
"247","USC00029334","5981S",5981,"S",32.2553,-109.8369
"248","USC00029359","3429S",3429,"S",35.2406,-112.1903
"249","USC00029376","8116R",8116,"R",35.8686,-114.6611
"250","USC00029410","3255R",3255,"R",35.6169,-109.1244
"251","USC00029542","4982S",4982,"S",35.5247,-111.3703
"252","USC00029634","8153S",8153,"S",33.595,-112.3014
"253","USC00029645","7191S",7191,"S",34.8775,-114.1344
"254","USC00029652","7907R",7907,"R",32.6114,-114.635
"255","USC00029656","8117R",8117,"R",32.7278,-114.6217
"256","USC00030064","5445S",5445,"S",35.9289,-91.0583
"257","USC00030130","5535S",5535,"S",34.7961,-92.8417
"258","USC00030220","6042R",6042,"R",34.1433,-93.0589
"259","USC00030240","6193S",6193,"S",34.025,-91.3444
"260","USC00030458","5098S",5098,"S",35.8306,-91.7944
"261","USC00030460","5494R",5494,"R",35.76,-91.6389
"262","USC00030536","5907S",5907,"S",35.4583,-91.0561
"263","USC00030582","6093R",6093,"R",34.5675,-92.6006
"264","USC00030586","4966R",4966,"R",36.3219,-94.215
"265","USC00030764","5373R",5373,"R",34.5697,-93.1947
"266","USC00030798","5807S",5807,"S",35.1161,-93.6506
"267","USC00030806","5650S",5650,"S",35.9239,-89.9044
"268","USC00030832","5616S",5616,"S",35.0931,-93.9258
"269","USC00030936","5760R",5760,"R",34.8822,-91.2153
"270","USC00031102","5843R",5843,"R",34.9817,-92.0064
"271","USC00031132","5059S",5059,"S",36.1092,-92.1636
"272","USC00031140","6092R",6092,"R",33.3111,-92.485
"273","USC00031152","6179S",6179,"S",33.59,-92.8236
"274","USC00031191","6205R",6205,"R",33.9153,-91.7711
"275","USC00031442","5826R",5826,"R",34.68,-91.2208
"276","USC00031455","5546R",5546,"R",35.4833,-93.45
"277","USC00031459","5655R",5655,"R",35.4564,-93.4425
"278","USC00031596","5717R",5717,"R",35.0833,-92.4294
"279","USC00031632","5457S",5457,"S",36.4197,-90.5858
"280","USC00031730","6143S",6143,"S",33.1111,-91.9481
"281","USC00031838","5938S",5938,"S",35.2342,-93.1675
"282","USC00031900","4383S",4383,"S",35.8272,-93.2044
"283","USC00031948","5963S",5963,"S",34.0464,-94.3481
"284","USC00031962","6343S",6343,"S",33.5597,-91.385
"285","USC00031968","5953R",5953,"R",34.9772,-91.4978
"286","USC00032148","6260S",6260,"S",33.8847,-91.5317
"287","USC00032355","6678S",6678,"S",33.1144,-91.2628
"288","USC00032356","5178R",5178,"R",36.4164,-93.7917
"289","USC00032366","5426R",5426,"R",36.0717,-91.6169
"290","USC00032444","5205R",5205,"R",36.1006,-94.1744
"291","USC00032540","5805S",5805,"S",33.8228,-92.3989
"292","USC00032794","5339S",5339,"S",35.9914,-92.7147
"293","USC00032930","5334S",5334,"S",36.4261,-94.4481
"294","USC00032962","5351R",5351,"R",35.2353,-92.3619
"295","USC00032978","5395S",5395,"S",35.5206,-91.9997
"296","USC00033242","6137R",6137,"R",34.5211,-90.59
"297","USC00033428","6081S",6081,"S",33.7089,-93.5561
"298","USC00033466","5894S",5894,"S",34.5128,-93.0486
"299","USC00033544","5218S",5218,"S",36.07,-93.7522
"300","USC00033734","5451S",5451,"S",35.8489,-90.6589
"301","USC00033821","5831S",5831,"S",35.6872,-90.0964
"302","USC00033862","6072S",6072,"S",34.6033,-91.9928
"303","USC00034106","4768S",4768,"S",36.4194,-92.9158
"304","USC00034134","5873R",5873,"R",34.1742,-92.5947
"305","USC00034185","6253R",6253,"R",33.3614,-93.5675
"306","USC00034548","6222S",6222,"S",33.295,-93.2325
"307","USC00034562","5962R",5962,"R",34.3947,-92.8364
"308","USC00034572","4976S",4976,"S",36.4947,-91.535
"309","USC00034638","5943S",5943,"S",34.7392,-90.7664
"310","USC00034666","5058R",5058,"R",35.9156,-92.6394
"311","USC00034756","5399R",5399,"R",34.5731,-94.2494
"312","USC00034938","5590R",5590,"R",35.1581,-92.7672
"313","USC00034988","5404S",5404,"S",34.5408,-93.5878
"314","USC00035018","5311R",5311,"R",35.6494,-94.1542
"315","USC00035036","5215R",5215,"R",36.3458,-92.3939
"316","USC00035046","5433R",5433,"R",35.8444,-92.0978
"317","USC00035079","5614R",5614,"R",34.0783,-93.7019
"318","USC00035112","6289S",6289,"S",33.9294,-93.8583
"319","USC00035186","5592S",5592,"S",35.6042,-91.2744
"320","USC00035200","5637R",5637,"R",34.9553,-93.1594
"321","USC00035376","6334R",6334,"R",33.7667,-93.9167
"322","USC00035508","5428R",5428,"R",35.4833,-93.8167
"323","USC00035512","5404R",5404,"R",35.5125,-93.8683
"324","USC00035563","5520S",5520,"S",36.0336,-90.4978
"325","USC00035754","6183R",6183,"R",34.2256,-92.0189
"326","USC00035820","5217R",5217,"R",36.2639,-90.9681
"327","USC00035866","6274S",6274,"S",33.2511,-91.5058
"328","USC00035908","5871S",5871,"S",33.8203,-93.3878
"329","USC00036253","6208S",6208,"S",33.8103,-91.2778
"330","USC00036376","6044R",6044,"R",34.3703,-91.1242
"331","USC00036506","5724S",5724,"S",35.2683,-91.7164
"332","USC00036562","5971S",5971,"S",34.3019,-92.3914
"333","USC00036768","5867R",5867,"R",33.9153,-92.8267
"334","USC00036920","5939S",5939,"S",34.4744,-91.4172
"335","USC00036928","5673S",5673,"S",35.3028,-93.6369
"336","USC00037488","5524S",5524,"S",34.8992,-94.1942
"337","USC00037582","6055S",6055,"S",33.6044,-92.0997
"338","USC00037712","5900S",5900,"S",35.1242,-90.1805
"339","USC00038052","5611S",5611,"S",35.2547,-90.7964
"340","USC00038084","5287R",5287,"R",36.2,-92.6667
"341","USC00040029","3410R",3410,"R",41.1936,-120.9447
"342","USC00040136","5703R",5703,"R",32.8358,-116.7775
"343","USC00040161","3196R",3196,"R",41.4931,-120.5528
"344","USC00040192","6867R",6867,"R",33.8647,-117.8425
"345","USC00040212","4261S",4261,"S",38.5731,-122.4406
"346","USC00040232","5206R",5206,"R",37.9856,-121.7458
"347","USC00040343","5695S",5695,"S",36.4914,-118.8253
"348","USC00040379","5265S",5265,"S",37.0919,-119.5128
"349","USC00040383","5115S",5115,"S",38.9072,-121.0839
"350","USC00040436","7456R",7456,"R",35.2761,-116.0628
"351","USC00040449","5436R",5436,"R",36.9092,-119.0883
"352","USC00040521","6306R",6306,"R",34.8928,-117.0219
"353","USC00040673","4710S",4710,"S",37.0856,-122.0797
"354","USC00040693","4047R",4047,"R",37.8744,-122.2606
"355","USC00040738","4163R",4163,"R",40.7406,-123.2078
"356","USC00040741","2987S",2987,"S",34.2442,-116.9039
"357","USC00040790","4087R",4087,"R",36.2472,-121.7803
"358","USC00040924","7982R",7982,"R",33.6131,-114.5972
"359","USC00040931","2910S",2910,"S",39.3886,-120.0936
"360","USC00040943","2227S",2227,"S",38.2119,-119.0142
"361","USC00040983","7826S",7826,"S",33.2314,-116.4144
"362","USC00041018","3076R",3076,"R",39.4539,-120.6556
"363","USC00041048","8010R",8010,"R",32.9544,-115.5581
"364","USC00041072","2922S",2922,"S",38.2575,-119.2286
"365","USC00041214","3284R",3284,"R",40.8803,-121.6547
"366","USC00041244","5935S",5935,"S",35.4047,-119.4731
"367","USC00041253","5421S",5421,"S",34.5825,-119.9817
"368","USC00041277","2821S",2821,"S",38.2769,-120.3114
"369","USC00041312","4931R",4931,"R",38.5961,-122.6014
"370","USC00041316","3313C",3313,"C",41.3111,-122.8045
"371","USC00041428","5173S",5173,"S",38.2486,-120.8433
"372","USC00041476","3058R",3058,"R",41.4219,-120.9017
"373","USC00041484","6025R",6025,"R",34.1819,-118.5744
"374","USC00041497","2887S",2887,"S",40.1703,-121.0883
"375","USC00041606","3459R",3459,"R",41.1417,-123.1392
"376","USC00041614","3142S",3142,"S",41.5306,-120.1803
"377","USC00041697","3739S",3739,"S",37.9747,-119.9161
"378","USC00041700","2879R",2879,"R",40.3033,-121.2422
"379","USC00041715","5257R",5257,"R",39.6911,-121.8211
"380","USC00041758","5837R",5837,"R",32.64,-117.0858
"381","USC00041806","4383R",4383,"R",38.9239,-122.5672
"382","USC00041838","5158R",5158,"R",38.8,-123.0175
"383","USC00041864","6131S",6131,"S",36.1356,-120.3606
"384","USC00041912","4232S",4232,"S",39.0911,-120.9481
"385","USC00041948","5215R",5215,"R",39.1875,-122.0269
"386","USC00041967","5217R",5217,"R",37.9833,-122.0692
"387","USC00042012","5666S",5666,"S",36.0975,-119.5817
"388","USC00042081","4268S",4268,"S",39.8158,-123.2444
"389","USC00042147","2333S",2333,"S",41.7958,-124.2147
"390","USC00042214","5642R",5642,"R",34.0053,-118.4136
"391","USC00042239","3746R",3746,"R",32.9897,-116.5872
"392","USC00042294","5100S",5100,"S",38.535,-121.7761
"393","USC00042319","8866R",8866,"R",36.4622,-116.8669
"394","USC00042331","4175R",4175,"R",37.3739,-117.9803
"395","USC00042338","3912R",3912,"R",39.3,-120.8333
"396","USC00042402","4271R",4271,"R",39.8717,-121.6108
"397","USC00042456","4590R",4590,"R",39.3575,-121.2011
"398","USC00042467","2651S",2651,"S",39.3239,-120.2331
"399","USC00042500","3748S",3748,"S",39.5633,-120.8239
"400","USC00042506","3396R",3396,"R",39.9717,-120.0828
"401","USC00042574","3915S",3915,"S",41.1833,-122.2736
"402","USC00042598","8380S",8380,"S",33.8089,-115.4508
"403","USC00042640","4799R",4799,"R",39.3592,-122.5178
"404","USC00042671","1975R",1975,"R",38.7833,-120.0333
"405","USC00042706","6459R",6459,"R",32.8139,-116.975
"406","USC00042709","6222R",6222,"R",32.8839,-116.8164
"407","USC00042713","8311S",8311,"S",32.7669,-115.5617
"408","USC00042728","5002R",5002,"R",38.3306,-120.6706
"409","USC00042771","5279S",5279,"S",34.5892,-117.6303
"410","USC00042805","6246R",6246,"R",33.6692,-117.3319
"411","USC00042863","6367R",6367,"R",33.1211,-117.0883
"412","USC00042934","5044S",5044,"S",38.2736,-122.0678
"413","USC00042941","5241R",5241,"R",34.705,-118.4242
"414","USC00043083","5789R",5789,"R",36.3642,-120.1561
"415","USC00043113","5364R",5364,"R",38.7,-121.1667
"416","USC00043157","2901S",2901,"S",41.52,-120.09
"417","USC00043161","2075R",2075,"R",39.5092,-123.7567
"418","USC00043191","2944R",2944,"R",38.515,-123.2447
"419","USC00043244","4551R",4551,"R",37.5422,-122.0158
"420","USC00043256","5937R",5937,"R",36.7525,-119.7017
"421","USC00043261","5567R",5567,"R",36.9969,-119.7072
"422","USC00043417","5126R",5126,"R",37.0067,-121.5633
"423","USC00043463","4087S",4087,"S",35.7269,-118.7006
"424","USC00043489","8560R",8560,"R",32.8833,-114.8667
"425","USC00043551","2466S",2466,"S",36.7394,-118.9631
"426","USC00043573","4037R",4037,"R",39.2042,-121.0681
"427","USC00043578","4416C",4416,"C",38.4306,-122.8647
"428","USC00043647","2741R",2741,"R",40.4864,-123.9089
"429","USC00043669","4127R",4127,"R",37.8444,-120.2258
"430","USC00043710","6047S",6047,"S",36.1389,-117.9528
"431","USC00043714","2919R",2919,"R",37.4725,-122.4433
"432","USC00043747","5636S",5636,"S",36.3158,-119.6369
"433","USC00043824","3550S",3550,"S",40.9317,-121.5433
"434","USC00043855","7444S",7444,"S",33.7044,-115.6289
"435","USC00043875","4977S",4977,"S",38.6175,-122.8731
"436","USC00043896","6121R",6121,"R",33.7381,-116.8939
"437","USC00043914","4816R",4816,"R",33.2372,-116.7614
"438","USC00043939","3669S",3669,"S",37.9614,-119.7831
"439","USC00044025","4606R",4606,"R",36.8483,-121.4214
"440","USC00044176","2049R",2049,"R",37.2275,-119.2206
"441","USC00044211","4149S",4149,"S",33.7572,-116.7067
"442","USC00044223","7979S",7979,"S",32.8489,-115.5667
"443","USC00044232","5515S",5515,"S",36.7981,-118.2036
"444","USC00044259","8846R",8846,"R",33.7086,-116.2153
"445","USC00044278","6165R",6165,"R",35.6514,-117.8214
"446","USC00044297","8585S",8585,"S",34.1472,-115.1219
"447","USC00044374","2823R",2823,"R",41.2683,-120.2947
"448","USC00044500","4322R",4322,"R",37.9569,-122.5439
"449","USC00044523","5544R",5544,"R",35.7831,-118.4389
"450","USC00044555","5172S",5172,"S",36.2069,-121.1378
"451","USC00044577","2283R",2283,"R",41.5786,-124.0747
"452","USC00044647","5618R",5618,"R",33.5453,-117.7814
"453","USC00044671","3199S",3199,"S",34.2467,-117.1883
"454","USC00044712","5448R",5448,"R",38.4919,-122.0039
"455","USC00044713","2817R",2817,"R",39.3183,-120.6392
"456","USC00044735","6428R",6428,"R",32.7675,-117.0233
"457","USC00044838","2942S",2942,"S",41.7019,-121.5011
"458","USC00044881","3051R",3051,"R",37.9567,-119.1194
"459","USC00044890","5810C",5810,"C",36.3817,-119.0264
"460","USC00044957","5791R",5791,"R",36.2033,-119.0545
"461","USC00044997","4912S",4912,"S",37.6922,-121.7692
"462","USC00045026","2024S",2024,"S",36.6044,-118.7325
"463","USC00045032","5222R",5222,"R",38.1061,-121.2878
"464","USC00045064","4327R",4327,"R",34.6539,-120.4514
"465","USC00045118","5722S",5722,"S",37.0564,-120.8667
"466","USC00045120","5645R",5645,"R",36.9897,-120.9297
