AQW00061705       12073C
USC00018998        5627R
USC00020060        6608R
USC00020080        8383Q
USC00020100        7564S
USC00020159        2672R
USC00020170        2350Q
USC00020287        6792S
USC00020288        7708R
USC00020404        7669Q
USC00020586        5366R
USC00020632        7773R
USC00020670        5793R
USC00020672        6765R
USC00020678        2664R
USC00020683        6136R
USC00020750        3498S
USC00020775        5203R
USC00020808        4094R
USC00020871        3261R
USC00020949        7574S
USC00020958        6291S
USC00021001        2158R
USC00021026        7727R
USC00021050        8244S
USC00021169        5353R
USC00021231        5292S
USC00021248        4225S
USC00021282        7619R
USC00021306        7800R
USC00021314        7540S
USC00021330        6296S
USC00021353        7597S
USC00021357        6661Q
USC00021514        7669R
USC00021574        3123R
USC00021614        6096R
USC00021654        4872Q
USC00021664        5306R
USC00021849        6844R
USC00021920        4279R
USC00022109        5670S
USC00022140        5507S
USC00022329        4153R
USC00022434        7754R
USC00022527        4201R
USC00022659        6627R
USC00022754        5989S
USC00022782        7812Q
USC00022790        8470R
USC00022807        7612R
USC00023009        2780R
USC00023027        7870R
USC00023110        5731Q
USC00023150        6407S
USC00023160        2622S
USC00023190        7768S
USC00023250        4229Q
USC00023303        3754R
USC00023393        8276S
USC00023505        5776R
USC00023596        3269S
USC00023668        7262R
USC00023683        2348R
USC00023828        2560R
USC00023961        3648Q
USC00024053        5519R
USC00024089        4665S
USC00024453        5214S
USC00024586        3837R
USC00024645        5689R
USC00024675        4205R
USC00024686        4061R
USC00024702        8418S
USC00024759        8478R
USC00024761        8385R
USC00024829        8123R
USC00024849        5880R
USC00024977        7919R
USC00025129        3609R
USC00025270        7717C
USC00025412        2905S
USC00025426        6477Q
USC00025512        6694R
USC00025635        5965S
USC00025665        4697R
USC00025700        7869R
USC00025780        3027R
USC00025825        4997Q
USC00025924        6156S
USC00026037        4729R
USC00026119        5768R
USC00026132        7716S
USC00026180        5060S
USC00026190        4580Q
USC00026194        8259Q
USC00026242        4646Q
USC00026250        8302R
USC00026353        5800R
USC00026468        4656S
USC00026471        6919S
USC00026513        7885R
USC00026597        3322R
USC00026601        3563Q
USC00026603        7545Q
USC00026616        4460S
USC00026653        4576R
USC00026716        4494S
USC00026796        4442R
USC00026840        6562R
USC00026865        8206R
USC00027281        6853S
USC00027370        7707R
USC00027390        6355S
USC00027435        4406S
USC00027480        6811R
USC00027488        4224R
USC00027560        6085R
USC00027593        6470R
USC00027619        6333R
USC00027625        6280R
USC00027708        5764R
USC00027716        4556S
USC00027855        4027S
USC00027880        6205R
USC00028012        4418C
USC00028018        4177R
USC00028112        7549R
USC00028162        3749R
USC00028214        7508R
USC00028329        3086S
USC00028348        7566R
USC00028396        7971S
USC00028468        4616R
USC00028499        7758R
USC00028516        7451R
USC00028619        6123S
USC00028641        7765R
USC00028792        4781R
USC00028795        7503R
USC00028796        7426R
USC00028800        7254R
USC00028815        7635S
USC00028817        7573R
USC00028865        6350S
USC00028904        6018R
USC00029114        5545R
USC00029156        3545Q
USC00029158        4271S
USC00029271        4820R
USC00029287        6663S
USC00029309        6657R
USC00029334        5981S
USC00029359        3429S
USC00029376        8116R
USC00029410        3255R
USC00029464        7558Q
USC00029542        4982S
USC00029634        8153S
USC00029645        7191S
USC00029652        7907R
USC00029656        8117R
USC00030064        5445S
USC00030130        5535S
USC00030220        6042R
USC00030240        6193S
USC00030458        5098S
USC00030460        5494R
USC00030536        5907S
USC00030582        6093R
USC00030586        4966R
USC00030618        5237Q
USC00030664        5351Q
USC00030764        5373R
USC00030798        5807S
USC00030806        5650S
USC00030832        5616S
USC00030936        5760R
USC00031102        5843R
USC00031132        5059S
USC00031140        6092R
USC00031152        6179S
USC00031191        6205R
USC00031442        5826R
USC00031455        5546R
USC00031457        5205Q
USC00031459        5655R
USC00031596        5717R
USC00031632        5457S
USC00031730        6143S
USC00031838        5938S
USC00031900        4383S
USC00031948        5963S
USC00031962        6343S
USC00031968        5953R
USC00032148        6260S
USC00032355        6678S
USC00032356        5178R
USC00032366        5426R
USC00032444        5205R
USC00032540        5805S
USC00032794        5339S
USC00032930        5334S
USC00032962        5351R
USC00032978        5395S
USC00033132        5454Q
USC00033242        6137R
USC00033428        6081S
USC00033466        5894S
USC00033544        5218S
USC00033734        5451S
USC00033821        5831S
USC00033862        6072S
USC00033909        4813Q
USC00034106        4768S
USC00034134        5873R
USC00034185        6253R
USC00034528        5637Q
USC00034548        6222S
USC00034562        5962R
USC00034572        4976S
USC00034638        5943S
USC00034666        5058R
USC00034711        5739Q
USC00034756        5399R
USC00034938        5590R
USC00034988        5404S
USC00035018        5311R
USC00035036        5215R
USC00035046        5433R
USC00035079        5614R
USC00035112        6289S
USC00035186        5592S
USC00035200        5637R
USC00035376        6334R
USC00035508        5428R
USC00035512        5404R
USC00035563        5520S
USC00035754        6183R
USC00035820        5217R
USC00035831        5508Q
USC00035866        6274S
USC00035908        5871S
USC00036174        6474Q
USC00036253        6208S
USC00036376        6044R
USC00036403        5012Q
USC00036506        5724S
USC00036562        5971S
USC00036768        5867R
USC00036920        5939S
USC00036928        5673S
USC00037488        5524S
USC00037582        6055S
USC00037712        5900S
USC00038010        5562Q
USC00038052        5611S
USC00038084        5287R
USC00040029        3410R
USC00040136        5703R
USC00040161        3196R
USC00040192        6867R
USC00040212        4261S
USC00040232        5206R
USC00040343        5695S
USC00040379        5265S
USC00040383        5115S
USC00040436        7456R
USC00040444        5966Q
USC00040449        5436R
USC00040521        6306R
USC00040673        4710S
USC00040693        4047R
USC00040738        4163R
USC00040741        2987S
USC00040755        3414Q
USC00040790        4087R
USC00040924        7982R
USC00040931        2910S
USC00040943        2227S
USC00040983        7826S
USC00041018        3076R
USC00041048        8010R
USC00041072        2922S
USC00041214        3284R
USC00041244        5935S
USC00041253        5421S
USC00041277        2821S
USC00041312        4931R
USC00041316        3313C
USC00041428        5173S
USC00041476        3058R
USC00041484        6025R
USC00041497        2887S
USC00041534        4452Q
USC00041606        3459R
USC00041614        3142S
USC00041697        3739S
USC00041700        2879R
USC00041715        5257R
USC00041738        7227Q
USC00041754        3757Q
USC00041758        5837R
USC00041806        4383R
USC00041838        5158R
USC00041864        6131S
USC00041912        4232S
USC00041948        5215R
USC00041967        5217R
USC00042012        5666S
USC00042081        4268S
USC00042147        2333S
USC00042214        5642R
USC00042239        3746R
USC00042294        5100S
USC00042319        8866R
USC00042331        4175R
USC00042338        3912R
USC00042402        4271R
USC00042410        8008Q
USC00042456        4590R
USC00042467        2651S
USC00042500        3748S
USC00042506        3396R
USC00042574        3915S
USC00042598        8380S
USC00042640        4799R
USC00042671        1975R
USC00042706        6459R
USC00042709        6222R
USC00042713        8311S
USC00042728        5002R
USC00042771        5279S
USC00042805        6246R
USC00042863        6367R
USC00042934        5044S
USC00042941        5241R
USC00043083        5789R
USC00043113        5364R
USC00043157        2901S
USC00043161        2075R
USC00043191        2944R
USC00043244        4551R
USC00043256        5937R
USC00043261        5567R
USC00043384        4594Q
USC00043392        5927Q
USC00043417        5126R
USC00043463        4087S
USC00043489        8560R
USC00043551        2466S
USC00043573        4037R
USC00043578        4416C
USC00043647        2741R
USC00043669        4127R
USC00043710        6047S
USC00043714        2919R
USC00043747        5636S
USC00043824        3550S
USC00043855        7444S
USC00043875        4977S
USC00043882        4678Q
USC00043896        6121R
USC00043914        4816R
USC00043939        3669S
USC00044025        4606R
USC00044176        2049R
USC00044211        4149S
USC00044223        7979S
USC00044232        5515S
USC00044259        8846R
USC00044278        6165R
USC00044297        8585S
USC00044303        6275Q
USC00044374        2823R
USC00044405        6303Q
USC00044412        4357Q
USC00044500        4322R
USC00044523        5544R
USC00044534        5978Q
USC00044555        5172S
USC00044577        2283R
USC00044647        5618R
USC00044671        3199S
USC00044712        5448R
USC00044713        2817R
USC00044735        6428R
USC00044838        2942S
USC00044881        3051R
USC00044890        5810C
USC00044957        5791R
USC00044997        4912S
USC00045026        2024S
USC00045032        5222R
USC00045064        4327R
USC00045118        5722S
USC00045120        5645R
USC00045123        4680S
USC00045233        5453R
USC00045280        2212R
USC00045311        2382S
USC00045360        4908S
USC00045378        4579S
USC00045385        5740R
USC00045449        3461R
USC00045502        8172R
USC00045532        5457S
USC00045679        2572S
USC00045721        5812S
USC00045756        5854R
USC00045790        6957R
USC00045795        3201S
USC00045802        3080R
USC00045853        5202Q
USC00045866        4194R
USC00045892        4704Q
USC00045915        4542R
USC00045933        3666S
USC00045968        3769Q
USC00046006        4634R
USC00046074        4769S
USC00046136        4065S
USC00046144        4605S
USC00046154        5120R
USC00046161        6023R
USC00046168        5933R
USC00046172        5084R
USC00046174        5484R
USC00046175        5125R
USC00046252        4844Q
USC00046263        6323R
USC00046336        4281R
USC00046370        3957Q
USC00046377        4622R
USC00046386        8848Q
USC00046399        5475R
USC00046498        2426R
USC00046506        5434S
USC00046508        4146R
USC00046521        5372R
USC00046569        4961R
USC00046572        5036R
USC00046599        3912R
USC00046610        4309R
USC00046624        5956S
USC00046635        8420S
USC00046646        4486R
USC00046657        4221S
USC00046685        5151S
USC00046699        8009S
USC00046719        6747R
USC00046730        4965S
USC00046773        5850R
USC00046826        4376S
USC00046926        4816R
USC00046943        3562R
USC00046960        5007R
USC00046962        5034R
USC00047050        6246R
USC00047077        6259R
USC00047085        2890S
USC00047109        4552S
USC00047150        4638S
USC00047195        3485R
USC00047228        5488R
USC00047253        5580S
USC00047306        6132S
USC00047339        4609R
USC00047404        3666S
USC00047414        4126R
USC00047470        6646R
USC00047473        6260R
USC00047641        2347R
USC00047643        4949S
USC00047668        4038R
USC00047689        4673R
USC00047723        6543R
USC00047741        5073Q
USC00047767        2890R
USC00047785        6376R
USC00047807        3250R
USC00047813        6063R
USC00047821        4903S
USC00047836        6110Q
USC00047846        5621R
USC00047851        4361S
USC00047874        6363R
USC00047880        4162R
USC00047888        6457S
USC00047902        5137R
USC00047916        4451S
USC00047953        4989S
USC00047957        5531R
USC00047965        4647S
USC00048025        4009Q
USC00048045        3524S
USC00048135        5431S
USC00048163        3245R
USC00048200        7217Q
USC00048207        3351R
USC00048218        3114Q
USC00048273        3556R
USC00048351        4609S
USC00048353        4442R
USC00048380        2744R
USC00048490        3668Q
USC00048560        5474R
USC00048587        4988R
USC00048606        3347S
USC00048655        6169R
USC00048702        3350R
USC00048713        4952R
USC00048752        5862R
USC00048758        2084S
USC00048826        4017R
USC00048829        4080Q
USC00048873        2747R
USC00048904        5553Q
USC00048917        5478S
USC00048928        4317R
USC00048999        5172Q
USC00049001        5534R
USC00049026        3874R
USC00049035        6907R
USC00049043        2680S
USC00049053        2955R
USC00049073        5536R
USC00049087        5720R
USC00049099        7224R
USC00049102        7498Q
USC00049105        1837R
USC00049111        4804R
USC00049122        4605S
USC00049152        5786S
USC00049200        5472S
USC00049325        5697R
USC00049351        2882Q
USC00049367        5766S
USC00049378        5692R
USC00049440        4723R
USC00049452        5974R
USC00049473        4014S
USC00049490        3974R
USC00049621        5295R
USC00049671        5159R
USC00049684        3440S
USC00049694        4266Q
USC00049699        5593R
USC00049742        5681C
USC00049781        5447R
USC00049785        6076Q
USC00049792        4931R
USC00049822        3175R
USC00049847        6328Q
USC00049855        3951R
USC00049859        4795Q
USC00049866        3634S
USC00050109        3695R
USC00050128        2724Q
USC00050185        1703R
USC00050214        3252S
USC00050263        1941S
USC00050301        3814R
USC00050306        4037Q
USC00050372        2255S
USC00050454        2273S
USC00050754        2520Q
USC00050776        2978R
USC00050797        2579R
USC00050825        1002Q
USC00050834        4021R
USC00050848        3786S
USC00050945        3478S
USC00050950        3807S
USC00051017        3135R
USC00051018        3148Q
USC00051060        2539R
USC00051071        2695R
USC00051121        3920R
USC00051179        3743S
USC00051186        1354S
USC00051268        4728S
USC00051294        4056R
USC00051401        3452R
USC00051440        3510R
USC00051443        3113R
USC00051458        2593S
USC00051528        3167S
USC00051539        4324R
USC00051547        3722R
USC00051564        4179S
USC00051609        2823S
USC00051620        3736Q
USC00051660         870R
USC00051681        1638R
USC00051713        2368S
USC00051741        3261R
USC00051743        3277R
USC00051772        4181R
USC00051886        3610S
USC00051932        2752R
USC00051939        2312R
USC00051948        2199Q
USC00051959        1695S
USC00051964        2519R
USC00051977        1855Q
USC00051996        4030R
USC00052184        2271S
USC00052192        3683R
USC00052196        3866R
USC00052223        4131R
USC00052281        1706S
USC00052286        3444S
USC00052342        3239Q
USC00052432        3417R
USC00052441        3063R
USC00052446        4175R
USC00052631        3188R
USC00052759        2419R
USC00052761        2105Q
USC00052790        2686S
USC00052816        1493Q
USC00052932        3823R
USC00052947        3696R
USC00052965        2239R
USC00053005        3612S
USC00053006        3475R
USC00053016        2431R
USC00053038        3595R
USC00053116        1947R
USC00053146        3927R
USC00053246        4359R
USC00053258        3457Q
USC00053261        1923R
USC00053307        3139R
USC00053359        3137R
USC00053387        2420Q
USC00053446        1641Q
USC00053489        4259S
USC00053496        1956C
USC00053500        1973S
USC00053530        1945S
USC00053541        2526S
USC00053553        4236S
USC00053592        2049R
USC00053629        2413Q
USC00053662        2249R
USC00053867        2848C
USC00053951        2004R
USC00054054        2203R
USC00054076        4469R
USC00054082        3675S
USC00054135        1485R
USC00054172        3697R
USC00054242        3801R
USC00054250        3341R
USC00054254        3216Q
USC00054380        3916R
USC00054388        4548R
USC00054413        4057R
USC00054444        3862R
USC00054452        3890R
USC00054538        4345R
USC00054546        4375R
USC00054603        4109R
USC00054606        4039R
USC00054664        2328R
USC00054724        4637R
USC00054726        4523S
USC00054734        2109R
USC00054742        2017S
USC00054762        3927S
USC00054770        4548S
USC00054834        4687S
USC00054934        2232S
USC00054945        3643S
USC00055025        3640R
USC00055056        3713R
USC00055116        3636R
USC00055236        3450R
USC00055322        2784S
USC00055327        2757R
USC00055402        3691R
USC00055414        2053R
USC00055422        3242R
USC00055427        3361R
USC00055446        2894R
USC00055484        2706R
USC00055507        2231R
USC00055531        3249S
USC00055706        2610R
USC00055722        3494S
USC00055734        2821R
USC00055797        1005R
USC00055922        3515R
USC00055934        2707R
USC00055970        3055R
USC00055984        4103R
USC00056012        2919S
USC00056023        3438R
USC00056040        1969Q
USC00056131        4251R
USC00056136        4166R
USC00056203        2209R
USC00056205        2399Q
USC00056258        2898R
USC00056259        2665Q
USC00056266        4147S
USC00056306        3614S
USC00056318        3847R
USC00056320        3810Q
USC00056323        3585R
USC00056326        3708R
USC00056520        2824Q
USC00056765        4459R
USC00056816        3515R
USC00056832        3408S
USC00056970        2059R
USC00056977        1850R
USC00057017        1862R
USC00057020        2766R
USC00057031        3689R
USC00057050        1845R
USC00057167        4674S
USC00057249        3499R
USC00057287        3336R
USC00057296        2065R
USC00057309        1719R
USC00057317        2912R
USC00057337        2489R
USC00057370        3055R
USC00057430        2808R
USC00057450        1534Q
USC00057515        3605S
USC00057519        3751Q
USC00057557        3549R
USC00057560        3589R
USC00057572        2677R
USC00057582        4158Q
USC00057656        1661R
USC00057848        1970R
USC00057866        4430R
USC00057936        2366S
USC00057950        4031R
USC00058008        3940R
USC00058022        3383R
USC00058064        1549R
USC00058157        4432S
USC00058184        1547R
USC00058204        1900S
USC00058290        4374R
USC00058429        3982S
USC00058436        3634R
USC00058501        1662R
USC00058560        4309R
USC00058575        1851R
USC00058582        2482R
USC00058690        2369R
USC00058756        1875S
USC00058781        3831S
USC00058793        4496S
USC00058839        3591S
USC00058860        2520Q
USC00058931        2536R
USC00058995        3705S
USC00059058        3843Q
USC00059060        3838Q
USC00059096        2077R
USC00059181         922R
USC00059243        3967R
USC00059265        2030R
USC00059275        3453R
USC00059278        3110Q
USC00059295        4018S
USC00060227        3064R
USC00060808        3629Q
USC00060961        3448R
USC00060973        3411S
USC00061762        3722R
USC00062658        3021R
USC00063207        3613R
USC00063420        3098Q
USC00064488        3290R
USC00064767        3680R
USC00065077        3729R
USC00065445        2705S
USC00065910        3561S
USC00067373        2750R
USC00067958        3137Q
USC00067970        3886R
USC00068138        3154R
USC00069388        3190R
USC00069568        3204R
USC00071200        4201Q
USC00072730        4771S
USC00073570        4546R
USC00073595        4396R
USC00075320        4942S
USC00075915        4514R
USC00076410        4585R
USC00079605        4211S
USC00080228        8594R
USC00080236        8439S
USC00080369        8678S
USC00080414       10435Q
USC00080478        9041S
USC00080598        7445Q
USC00080611        8921R
USC00080737        9022Q
USC00080945        9021R
USC00080992        8959Q
USC00081046        8705R
USC00081163        8179R
USC00081276        9133R
USC00081306       10303R
USC00081544        7375R
USC00081641        8588R
USC00081651        8952Q
USC00081654        9330R
USC00081795       10585P
USC00081858        9692R
USC00081978        8253R
USC00082008        7470R
USC00082046       10499Q
USC00082150        8253Q
USC00082220        7193R
USC00082229        8087R
USC00082298        9057S
USC00082418       10382R
USC00082441       10541R
USC00082850        9733R
USC00082915        8159R
USC00082944        7831S
USC00083020        9856R
USC00083026        8461Q
USC00083137        8564R
USC00083153        8530Q
USC00083163        9828S
USC00083168       10041R
USC00083207        9080R
USC00083322        7645R
USC00083470        7279S
USC00083874        7516S
USC00083909       10030S
USC00083956        7700R
USC00084050        9951Q
USC00084095        9506R
USC00084210        9029R
USC00084289        8090S
USC00084320       10501Q
USC00084366        8100R
USC00084394        7210S
USC00084412       10148Q
USC00084461        9838Q
USC00084625        8555S
USC00084662        8662R
USC00084707        8668R
USC00084731        7615S
USC00084802        8795R
USC00085076        8182S
USC00085099        7893R
USC00085184        9638R
USC00085275        7284S
USC00085359        8635Q
USC00085539        7578S
USC00085667        9904R
USC00085793        6758R
USC00085879        7142R
USC00085880        7127Q
USC00085895        9108R
USC00085973        8936R
USC00086065        8858S
USC00086078        9444R
USC00086129        6937Q
USC00086240        6939R
USC00086315        9900Q
USC00086406        9621R
USC00086414        8339S
USC00086485        8978R
USC00086618        7884R
USC00086657        8809Q
USC00086764        9171Q
USC00086767        7897R
USC00086828        7357Q
USC00086842        7755R
USC00086880        8749R
USC00087020        9236R
USC00087025        7758S
USC00087205        8733S
USC00087228        8122Q
USC00087254        9973R
USC00087261        8456Q
USC00087304        9041Q
USC00087397        9215S
USC00087429        7257R
USC00087760        9796R
USC00087826        8124S
USC00087851        8811S
USC00087982        8740S
USC00088076        7434Q
USC00088368        8809Q
USC00088529        7566R
USC00088565        7542R
USC00088620        9529R
USC00088756        7408Q
USC00088780        9872R
USC00088824        8700S
USC00088841       10534R
USC00088942        8895S
USC00089120        7664R
USC00089176        8933R
USC00089219        8929R
USC00089401        8975S
USC00089430        8347R
USC00089511        9771Q
USC00089566        7137S
USC00089640        7541Q
USC00089707        9120R
USC00090010        6624Q
USC00090140        7021S
USC00090181        5568R
USC00090219        5224R
USC00090236        5314R
USC00090253        6465R
USC00090311        5960S
USC00090406        6754R
USC00090586        7230R
USC00090603        4973Q
USC00090670        6836Q
USC00090969        4603R
USC00090979        6829R
USC00091266        6855S
USC00091340        7584S
USC00091448        6390R
USC00091463        7149Q
USC00091474        5620R
USC00091500        6915R
USC00091640        5468S
USC00091665        5927R
USC00091732        5550S
USC00091863        5489R
USC00091908        5417Q
USC00091965        5084Q
USC00091973        6890R
USC00091982        4697S
USC00092006        4741Q
USC00092153        7187R
USC00092159        6545R
USC00092180        5531S
USC00092266        6541S
USC00092283        5015S
USC00092318        5927R
USC00092361        6729Q
USC00092408        5225Q
USC00092450        6407S
USC00092475        4827R
USC00092485        5582C
USC00092493        5569R
USC00092517        5536R
USC00092738        7383Q
USC00092783        6909R
USC00092839        6517S
USC00092966        6558S
USC00093060        5232C
USC00093271        5936R
USC00093325        7314R
USC00093386        6840R
USC00093465        7782S
USC00093506        5975R
USC00093538        7431S
USC00093578        6673Q
USC00093621        5362S
USC00093658        6600Q
USC00093754        6984R
USC00093915        6203R
USC00094133        5586S
USC00094138        5781Q
USC00094170        6477R
USC00094204        6938R
USC00094230        4820R
USC00094429        6862R
USC00094594        6653R
USC00094648        5056S
USC00094674        7447R
USC00094676        6750R
USC00094700        5760R
USC00094862        6355Q
USC00094941        5192R
USC00094949        6096R
USC00095061        6764Q
USC00095165        5762Q
USC00095314        6479S
USC00095394        6588R
USC00095401        6785Q
USC00095404        5464Q
USC00095550        6648R
USC00095666        5910R
USC00095811        6997R
USC00095863        6494R
USC00095874        6336S
USC00095882        6476R
USC00095988        5899S
USC00096087        7141R
USC00096093        3667Q
USC00096148        6426R
USC00096219        6957R
USC00096244        7063R
USC00096335        5881R
USC00096838        6925Q
USC00097087        6265S
USC00097171        6746R
USC00097276        6975S
USC00097528        6503Q
USC00097600        5878S
USC00097777        6328S
USC00097808        7376R
USC00097827        3968R
USC00098064        5969S
USC00098436        5489Q
USC00098476        6601R
USC00098496        6890R
USC00098535        6004R
USC00098661        6194S
USC00098666        7317Q
USC00098703        6794R
USC00098740        5487R
USC00098950        5742S
USC00098974        7148Q
USC00099027        6644Q
USC00099124        6452R
USC00099141        5977S
USC00099157        5864S
USC00099186        7034S
USC00099194        6494R
USC00099291        5920S
USC00099466        5702R
USC00099486        5495R
USC00099502        7076R
USC00100010        2860S
USC00100227        2929R
USC00100282        3211Q
USC00100347        2854R
USC00100375        2814R
USC00100448        3335S
USC00100470        2394R
USC00100528        2562Q
USC00100667        2312R
USC00100803        2508R
USC00100915        2967R
USC00101017        3222S
USC00101018        3818Q
USC00101079        2740S
USC00101180        4062R
USC00101195        4148S
USC00101220        3264S
USC00101363        2374S
USC00101380        3934R
USC00101408        3400S
USC00101514        2200R
USC00101551        3346S
USC00101663        2937R
USC00101671        2281S
USC00101831        1932Q
USC00101956        2724R
USC00102159        2503S
USC00102187        3349Q
USC00102246        2199R
USC00102260        2609R
USC00102390        2138R
USC00102444        3821R
USC00102575        1745R
USC00102577        1700Q
USC00102676        2132S
USC00102707        2532S
USC00102845        3303S
USC00102875        2371S
USC00102892        2295R
USC00102942        3504S
USC00103108        2591R
USC00103110        2443R
USC00103143        2890R
USC00103297        2805S
USC00103448        3097S
USC00103554        2434R
USC00103558        2422Q
USC00103631        3851R
USC00103732        2727S
USC00103760        3815S
USC00103771        2552S
USC00103882        2241R
USC00103932        3603R
USC00103940        2602Q
USC00103964        2934R
USC00104140        3181S
USC00104150        2169R
USC00104268        2491R
USC00104295        3251Q
USC00104318        3640Q
USC00104384        2907R
USC00104442        2720S
USC00104455        2992S
USC00104456        2281S
USC00104598        2152R
USC00104670        3411R
USC00104793        3348Q
USC00104831        2575S
USC00104845        2215R
USC00105013        2868R
USC00105015        3128Q
USC00105038        3693R
USC00105143        2825Q
USC00105177        2252R
USC00105275        2380S
USC00105414        2572R
USC00105462        2375R
USC00105563        2976R
USC00105567        3184R
USC00105678        3112R
USC00105685        2665R
USC00105708        2157S
USC00105716        2826R
USC00105897        2659S
USC00105980        3134R
USC00106152        2725S
USC00106174        3640R
USC00106230        2379R
USC00106250        2963R
USC00106305        3635S
USC00106388        2469R
USC00106424        2379S
USC00106542        3234S
USC00106586        3169R
USC00106764        2572R
USC00106844        3570S
USC00106877        2995S
USC00106891        3697S
USC00107040        2584S
USC00107046        2340R
USC00107188        2433R
USC00107208        3162R
USC00107210        3330Q
USC00107264        2612R
USC00107301        2439S
USC00107320        2238S
USC00107346        2975R
USC00107386        2398C
USC00107563        2209R
USC00107644        2604R
USC00107648        3076S
USC00107673        2827S
USC00107689        2839Q
USC00107706        3725R
USC00107808        2795Q
USC00107968        3013R
USC00108022        2483S
USC00108062        2721S
USC00108080        2681S
USC00108137        2511S
USC00108380        3362R
USC00108395        3005R
USC00108412        2626R
USC00108535        2460R
USC00108676        2042S
USC00108928        4090S
USC00108937        2552S
USC00109000        2724R
USC00109065        2091R
USC00109293        3523R
USC00109303        2999S
USC00109498        2313R
USC00109560        1966R
USC00109638        3715R
USC00109698        3096Q
USC00109846        2072S
USC00109950        2380Q
USC00109951        2206R
USC00109963        3123R
USC00110055        4851R
USC00110072        3706S
USC00110137        4958R
USC00110140        3669Q
USC00110187        4967S
USC00110203        3376R
USC00110306        4077R
USC00110338        3755S
USC00110356        3854Q
USC00110442        3323R
USC00110598        4199R
USC00110608        4797R
USC00110764        4019R
USC00110993        4850S
USC00111020        4636R
USC00111160        4822S
USC00111265        4872S
USC00111280        4354R
USC00111290        4571R
USC00111302        4699R
USC00111420        3758R
USC00111436        4464S
USC00111475        4106S
USC00111497        3452S
USC00111550        3884Q
USC00111835        3497R
USC00111836        3987R
USC00112140        4250S
USC00112193        4459S
USC00112223        3546S
USC00112348        3548S
USC00112353        5254R
USC00112483        4866S
USC00112500        3693R
USC00112736        3550R
USC00112745        3371R
USC00112931        4561S
USC00112993        3889R
USC00113106        4521R
USC00113109        4698S
USC00113262        3477S
USC00113290        3763S
USC00113320        3870S
USC00113335        3738S
USC00113369        3827R
USC00113384        3946S
USC00113413        3831R
USC00113455        4030R
USC00113530        4105R
USC00113580        4951R
USC00113612        4758Q
USC00113717        4121R
USC00113879        4924R
USC00113940        4272R
USC00114013        3933R
