"","station","precip_qual","precip","qual","lat","long"
"87","USC00014193","6018R",6018,"R",31.5253,-87.9278
"88","USC00014226","5967R",5967,"R",33.9047,-87.3153
"89","USC00014502","5455R",5455,"R",32.9069,-85.4336
"90","USC00014798","5608R",5608,"R",32.5811,-88.1897
"91","USC00015121","5367S",5367,"S",32.4714,-87.2314
"92","USC00015439","5321R",5321,"R",32.4419,-85.8889
"93","USC00015635","5716S",5716,"S",34.4883,-87.2989
"94","USC00016000","5891R",5891,"R",33.3264,-86.7561
"95","USC00016121","5541R",5541,"R",33.9478,-86.4692
"96","USC00016129","5473R",5473,"R",32.6592,-85.4492
"97","USC00016478","5409S",5409,"S",33.6906,-86.685
"98","USC00016988","6732R",6732,"R",30.5653,-87.7017
"99","USC00017020","5658R",5658,"R",32.8711,-86.1758
"100","USC00017025","5296R",5296,"R",33.1581,-85.2911
"101","USC00017131","5662R",5662,"R",34.51,-87.7319
"102","USC00017157","5913R",5913,"R",34.1736,-86.8133
"103","USC00017207","5365R",5365,"R",34.2878,-85.9681
"104","USC00017304","5694R",5694,"R",34.6736,-86.0536
"105","USC00017366","5109S",5109,"S",32.4111,-87.0144
"106","USC00017999","5425S",5425,"S",33.2053,-86.2114
"107","USC00018024","5555R",5555,"R",33.4164,-86.135
"108","USC00018178","5781S",5781,"S",31.9172,-87.7347
"109","USC00018209","5524R",5524,"R",32.9206,-86.6708
"110","USC00018323","5205R",5205,"R",31.8075,-85.9722
"111","USC00018380","5495S",5495,"S",33.2119,-87.6161
"112","USC00018438","5542S",5542,"S",32.0142,-85.7464
"113","USC00018469","5597S",5597,"S",34.5667,-85.6128
"114","USC00018517","5733R",5733,"R",33.7392,-88.1275
"115","USC00018859","5129S",5129,"S",32.5906,-86.2103
"116","USC00018867","5948R",5948,"R",31.6508,-87.7097
"117","USC00018998","6026S",6026,"S",33.9111,-87.8475
"118","USC00020060","888R",888,"R",33.9433,-113.1875
"119","USC00020080","684R",684,"R",32.3697,-112.86
"120","USC00020100","882S",882,"S",34.2281,-113.5778
"121","USC00020159","2194R",2194,"R",33.8492,-109.1469
"122","USC00020287","1141R",1141,"R",31.9792,-111.3831
"123","USC00020288","1328R",1328,"R",33.4625,-111.4814
"124","USC00020586","1671R",1671,"R",34.5972,-113.1739
"125","USC00020632","1481R",1481,"R",33.8097,-111.6497
"126","USC00020670","1520R",1520,"R",34.6417,-111.7831
"127","USC00020672","718R",718,"R",36.8969,-113.9425
"128","USC00020678","2015R",2015,"R",35.23,-111.8214
"129","USC00020683","1270R",1270,"R",31.8806,-110.2403
"130","USC00020750","1280R",1280,"R",36.6778,-110.5411
"131","USC00020775","1905R",1905,"R",31.4475,-109.9289
"132","USC00020808","2027S",2027,"S",33.4783,-109.7517
"133","USC00020949","574S",574,"S",33.9431,-114.0242
"134","USC00020958","1210S",1210,"S",32.325,-109.4917
"135","USC00021001","2468R",2468,"R",36.2147,-112.062
"136","USC00021026","876R",876,"R",33.3761,-112.5828
"137","USC00021050","598S",598,"S",35.1411,-114.5686
"138","USC00021231","1886R",1886,"R",31.5589,-110.5294
"139","USC00021248","958R",958,"R",36.1533,-109.5394
"140","USC00021282","1307R",1307,"R",33.8161,-111.9019
"141","USC00021306","904R",904,"R",32.8878,-111.7117
"142","USC00021314","918S",918,"S",32.9947,-111.5367
"143","USC00021330","1390S",1390,"S",32.3222,-110.4147
"144","USC00021353","1499R",1499,"R",33.9825,-112.3617
"145","USC00021514","943R",943,"R",33.2058,-111.6819
"146","USC00021574","1891R",1891,"R",34.54,-110.9153
"147","USC00021614","1822R",1822,"R",34.3494,-111.6981
"148","USC00021664","2070R",2070,"R",32.0061,-109.3572
"149","USC00021849","1595R",1595,"R",33.0561,-109.3072
"150","USC00021920","1400S",1400,"S",36.9936,-112.9719
"151","USC00022109","1634S",1634,"S",34.305,-112.165
"152","USC00022140","2195R",2195,"R",31.3456,-110.2542
"153","USC00022434","472R",472,"R",32.9711,-113.4981
"154","USC00022659","1391R",1391,"R",31.345,-109.5394
"155","USC00022754","1181S",1181,"S",32.7481,-109.1214
"156","USC00022790","441R",441,"R",33.6133,-114.4706
"157","USC00022807","1050R",1050,"R",32.7819,-111.5186
"158","USC00023009","2316R",2316,"R",35.1611,-111.7311
"159","USC00023027","972R",972,"R",33.0364,-111.3881
"160","USC00023150","1047S",1047,"S",33.0094,-109.9855
"161","USC00023160","2096R",2096,"R",35.2681,-111.7428
"162","USC00023190","1164S",1164,"S",33.6028,-111.7131
"163","USC00023393","703S",703,"S",32.9481,-112.7131
"164","USC00023505","1675R",1675,"R",33.3767,-110.7711
"165","USC00023596","1594R",1594,"R",36.0528,-112.1503
"166","USC00023668","1419R",1419,"R",31.8931,-110.9978
"167","USC00023683","2190R",2190,"R",34.0219,-109.4519
"168","USC00024053","1533R",1533,"R",34.47,-112.8881
"169","USC00024089","864R",864,"R",34.9094,-110.1544
"170","USC00024453","1871R",1871,"R",34.7522,-112.1114
"171","USC00024675","2354R",2354,"R",31.96,-111.5972
"172","USC00024702","680S",680,"S",33.2742,-113.9653
"173","USC00024829","850S",850,"S",33.3369,-112.1472
"174","USC00024849","703R",703,"R",36.8644,-111.6022
"175","USC00024977","888R",888,"R",33.4992,-112.3631
"176","USC00025129","792R",792,"R",36.4192,-109.2269
"177","USC00025270","792S",792,"S",33.1139,-112.0303
"178","USC00025412","2626S",2626,"S",34.1142,-109.8589
"179","USC00025512","1774R",1774,"R",33.4044,-110.87
"180","USC00025635","1435S",1435,"S",34.6106,-111.8381
"181","USC00025665","523R",523,"R",36.9853,-110.12
"182","USC00025700","1393R",1393,"R",33.5544,-111.4425
"183","USC00025780","2356R",2356,"R",34.9364,-111.6392
"184","USC00025924","1805S",1805,"S",31.4553,-110.9681
"185","USC00026037","2912R",2912,"R",34.9589,-111.7553
"186","USC00026119","2347S",2347,"S",32.6025,-110.7344
"187","USC00026132","1025R",1025,"R",31.9556,-112.8003
"188","USC00026180","683R",683,"R",36.9208,-111.4483
"189","USC00026190","1083R",1083,"R",35.0681,-109.7689
"190","USC00026250","509R",509,"R",34.1547,-114.2897
"191","USC00026353","1333R",1333,"R",31.9356,-109.8378
"192","USC00026468","1046R",1046,"R",34.7994,-109.885
"193","USC00026471","1006S",1006,"S",36.1383,-112.0958
"194","USC00026513","1041R",1041,"R",32.6464,-111.4017
"195","USC00026597","2098R",2098,"R",34.1167,-109.9333
"196","USC00026601","2563S",2563,"S",34.1242,-109.9219
"197","USC00026616","1095R",1095,"R",36.8586,-112.7386
"198","USC00026653","2210R",2210,"R",34.0989,-110.9442
"199","USC00026716","2113R",2113,"R",31.8828,-109.2058
"200","USC00026796","1795S",1795,"S",34.5706,-112.4322
"201","USC00026840","1803R",1803,"R",33.8556,-111.3064
"202","USC00026865","498R",498,"R",33.665,-114.2272
"203","USC00027281","1648S",1648,"S",33.6731,-111.1508
"204","USC00027370","829R",829,"R",33.0722,-111.7661
"205","USC00027390","967S",967,"S",32.815,-109.6808
"206","USC00027435","1050R",1050,"R",34.5172,-109.4028
"207","USC00027480","1488R",1488,"R",33.1819,-110.5261
"208","USC00027488","1040R",1040,"R",35.2239,-109.3222
"209","USC00027560","1105R",1105,"R",32.2714,-109.2256
"210","USC00027593","2297R",2297,"R",31.7625,-110.8464
"211","USC00027619","1676R",1676,"R",31.4831,-111.5436
"212","USC00027708","1850S",1850,"S",34.8956,-111.7644
"213","USC00027716","1279S",1279,"S",35.3322,-112.8797
"214","USC00027855","1664S",1664,"S",34.2639,-110.0075
"215","USC00027880","1420R",1420,"R",31.5553,-110.2847
"216","USC00028012","1212S",1212,"S",34.5081,-110.0839
"217","USC00028018","1121R",1121,"R",34.5,-110.3333
"218","USC00028112","842R",842,"R",33.3814,-112.07
"219","USC00028162","1188R",1188,"R",34.1311,-109.275
"220","USC00028214","1334S",1334,"S",33.5575,-111.5358
"221","USC00028329","1724R",1724,"R",35.3694,-111.5436
"222","USC00028348","1870R",1870,"R",33.3003,-111.0972
"223","USC00028396","410S",410,"S",32.7225,-113.9192
"224","USC00028468","845R",845,"R",36.9233,-109.09
"225","USC00028499","933S",933,"S",33.4258,-111.9217
"226","USC00028516","568R",568,"R",36.03,-114.3289
"227","USC00028619","1414S",1414,"S",31.7119,-110.0686
"228","USC00028792","674R",674,"R",36.1306,-111.2436
"229","USC00028795","1216R",1216,"R",32.2542,-111.1961
"230","USC00028796","1201S",1201,"S",32.2817,-110.9442
"231","USC00028800","1415R",1415,"R",32.25,-110.8333
"232","USC00028815","1162R",1162,"R",32.2292,-110.9536
"233","USC00028817","1130S",1130,"S",32.2581,-111.0053
"234","USC00028865","1656R",1656,"R",31.5678,-111.0497
"235","USC00028904","1271S",1271,"S",34.7706,-112.0264
"236","USC00029114","681R",681,"R",36.9953,-111.4914
"237","USC00029156","1856R",1856,"R",35.1706,-111.5067
"238","USC00029158","1524S",1524,"S",34.9281,-112.8097
"239","USC00029271","2007R",2007,"R",33.8214,-109.9839
"240","USC00029287","1215S",1215,"S",33.9792,-112.7403
"241","USC00029309","931R",931,"R",34.7061,-113.6136
"242","USC00029334","1332S",1332,"S",32.2553,-109.8369
"243","USC00029359","2232S",2232,"S",35.2406,-112.1903
"244","USC00029376","548R",548,"R",35.8686,-114.6611
"245","USC00029410","1075R",1075,"R",35.6169,-109.1244
"246","USC00029542","841R",841,"R",35.5247,-111.3703
"247","USC00029634","914C",914,"C",33.595,-112.3014
"248","USC00029645","753S",753,"S",34.8775,-114.1344
"249","USC00029652","368R",368,"R",32.6114,-114.635
"250","USC00030064","4527R",4527,"R",35.9289,-91.0583
"251","USC00030130","5658S",5658,"S",34.7961,-92.8417
"252","USC00030220","5469R",5469,"R",34.1433,-93.0589
"253","USC00030240","5189R",5189,"R",34.025,-91.3444
"254","USC00030458","4775S",4775,"S",35.8306,-91.7944
"255","USC00030460","4867S",4867,"S",35.76,-91.6389
"256","USC00030586","4709R",4709,"R",36.3219,-94.215
"257","USC00030664","6452S",6452,"S",34.4619,-93.9983
"258","USC00030764","5640R",5640,"R",34.5697,-93.1947
"259","USC00030798","4840S",4840,"S",35.1161,-93.6506
"260","USC00030806","4977S",4977,"S",35.9239,-89.9044
"261","USC00030832","4979S",4979,"S",35.0931,-93.9258
"262","USC00030936","4844S",4844,"S",34.8822,-91.2153
"263","USC00031102","5069R",5069,"R",34.9817,-92.0064
"264","USC00031132","4775R",4775,"R",36.1092,-92.1636
"265","USC00031140","4980R",4980,"R",33.3111,-92.485
"266","USC00031152","5268S",5268,"S",33.59,-92.8236
"267","USC00031442","5157R",5157,"R",34.68,-91.2208
"268","USC00031455","4853R",4853,"R",35.4833,-93.45
"269","USC00031457","5148R",5148,"R",35.5328,-93.4036
"270","USC00031459","5009R",5009,"R",35.4564,-93.4425
"271","USC00031596","4908R",4908,"R",35.0833,-92.4294
"272","USC00031632","4733S",4733,"S",36.4197,-90.5858
"273","USC00031730","5691R",5691,"R",33.1111,-91.9481
"274","USC00031900","5572S",5572,"S",35.8272,-93.2044
"275","USC00031948","5361S",5361,"S",34.0464,-94.3481
"276","USC00031962","5365S",5365,"S",33.5597,-91.385
"277","USC00031968","4883R",4883,"R",34.9772,-91.4978
"278","USC00032148","5094S",5094,"S",33.8847,-91.5317
"279","USC00032355","5713S",5713,"S",33.1144,-91.2628
"280","USC00032356","4693R",4693,"R",36.4164,-93.7917
"281","USC00032366","4996R",4996,"R",36.0717,-91.6169
"282","USC00032444","4553R",4553,"R",36.1006,-94.1744
"283","USC00032540","5577S",5577,"S",33.8228,-92.3989
"284","USC00032794","4753R",4753,"R",35.9914,-92.7147
"285","USC00032930","4738S",4738,"S",36.4261,-94.4481
"286","USC00032962","4871R",4871,"R",35.2353,-92.3619
"287","USC00032978","5091R",5091,"R",35.5206,-91.9997
"288","USC00033132","4979R",4979,"R",36.2747,-91.5056
"289","USC00033242","5084R",5084,"R",34.5211,-90.59
"290","USC00033428","5447S",5447,"S",33.7089,-93.5561
"291","USC00033466","5718S",5718,"S",34.5128,-93.0486
"292","USC00033544","4656R",4656,"R",36.07,-93.7522
"293","USC00033734","4823R",4823,"R",35.8489,-90.6589
"294","USC00033821","5028S",5028,"S",35.6872,-90.0964
"295","USC00033862","4857S",4857,"S",34.6033,-91.9928
"296","USC00034106","4582R",4582,"R",36.4194,-92.9158
"297","USC00034134","5438R",5438,"R",34.1742,-92.5947
"298","USC00034185","5266R",5266,"R",33.3614,-93.5675
"299","USC00034528","4990R",4990,"R",35.0264,-90.7347
"300","USC00034548","5321S",5321,"S",33.295,-93.2325
"301","USC00034562","5528R",5528,"R",34.3947,-92.8364
"302","USC00034572","4749R",4749,"R",36.4947,-91.535
"303","USC00034638","5057S",5057,"S",34.7392,-90.7664
"304","USC00034666","4498R",4498,"R",35.9156,-92.6394
"305","USC00034756","5919S",5919,"S",34.5731,-94.2494
"306","USC00034938","4990R",4990,"R",35.1581,-92.7672
"307","USC00034988","5725S",5725,"S",34.5408,-93.5878
"308","USC00035018","5237R",5237,"R",35.6494,-94.1542
"309","USC00035036","4805S",4805,"S",36.3458,-92.3939
"310","USC00035046","5073R",5073,"R",35.8444,-92.0978
"311","USC00035079","5564R",5564,"R",34.0783,-93.7019
"312","USC00035112","5400S",5400,"S",33.9294,-93.8583
"313","USC00035186","4943S",4943,"S",35.6042,-91.2744
"314","USC00035200","5417R",5417,"R",34.9553,-93.1594
"315","USC00035508","4923R",4923,"R",35.4833,-93.8167
"316","USC00035512","5048R",5048,"R",35.5125,-93.8683
"317","USC00035563","4956S",4956,"S",36.0336,-90.4978
"318","USC00035754","5286S",5286,"S",34.2256,-92.0189
"319","USC00035820","4851R",4851,"R",36.2639,-90.9681
"320","USC00035866","5468R",5468,"R",33.2511,-91.5058
"321","USC00035908","5541S",5541,"S",33.8203,-93.3878
"322","USC00036253","5186R",5186,"R",33.8103,-91.2778
"323","USC00036376","5049R",5049,"R",34.3703,-91.1242
"324","USC00036403","4778S",4778,"S",36.3561,-91.8036
"325","USC00036506","5005S",5005,"S",35.2683,-91.7164
"326","USC00036562","5304S",5304,"S",34.3019,-92.3914
"327","USC00036768","5315R",5315,"R",33.9153,-92.8267
"328","USC00036920","4944S",4944,"S",34.4744,-91.4172
"329","USC00036928","4764S",4764,"S",35.3028,-93.6369
"330","USC00037488","5074R",5074,"R",34.8992,-94.1942
"331","USC00037582","5740S",5740,"S",33.6044,-92.0997
"332","USC00037712","5340R",5340,"R",35.1242,-90.1805
"333","USC00038052","4821R",4821,"R",35.2547,-90.7964
"334","USC00040029","1552R",1552,"R",41.1936,-120.9447
"335","USC00040136","1677R",1677,"R",32.8358,-116.7775
"336","USC00040161","1244R",1244,"R",41.4931,-120.5528
"337","USC00040192","1343R",1343,"R",33.8647,-117.8425
"338","USC00040212","4130S",4130,"S",38.5731,-122.4406
"339","USC00040232","1322R",1322,"R",37.9856,-121.7458
"340","USC00040343","2711R",2711,"R",36.4914,-118.8253
"341","USC00040379","2625S",2625,"S",37.0919,-119.5128
"342","USC00040383","3715R",3715,"R",38.9072,-121.0839
"343","USC00040436","448R",448,"R",35.2761,-116.0628
"344","USC00040449","3126R",3126,"R",36.9092,-119.0883
"345","USC00040521","530S",530,"S",34.8928,-117.0219
"346","USC00040673","5048S",5048,"S",37.0856,-122.0797
"347","USC00040693","2674R",2674,"R",37.8744,-122.2606
"348","USC00040738","3643R",3643,"R",40.7406,-123.2078
"349","USC00040741","2010R",2010,"R",34.2442,-116.9039
"350","USC00040790","4488R",4488,"R",36.2472,-121.7803
"351","USC00040924","377R",377,"R",33.6131,-114.5972
"352","USC00040931","2243R",2243,"R",39.3886,-120.0936
"353","USC00040943","1179R",1179,"R",38.2119,-119.0142
"354","USC00040983","613S",613,"S",33.2314,-116.4144
"355","USC00041048","278R",278,"R",32.9544,-115.5581
"356","USC00041072","940R",940,"R",38.2575,-119.2286
"357","USC00041214","2842R",2842,"R",40.8803,-121.6547
"358","USC00041244","640S",640,"S",35.4047,-119.4731
"359","USC00041253","2209S",2209,"S",34.5825,-119.9817
"360","USC00041277","5700R",5700,"R",38.2769,-120.3114
"361","USC00041312","4087R",4087,"R",38.5961,-122.6014
"362","USC00041316","2152S",2152,"S",41.3111,-122.8045
"363","USC00041428","2349S",2349,"S",38.2486,-120.8433
"364","USC00041484","1777R",1777,"R",34.1819,-118.5744
"365","USC00041497","3761S",3761,"S",40.1703,-121.0883
"366","USC00041606","3782R",3782,"R",41.1417,-123.1392
"367","USC00041614","1256S",1256,"S",41.5306,-120.1803
"368","USC00041697","5051R",5051,"R",37.9747,-119.9161
"369","USC00041700","3435R",3435,"R",40.3033,-121.2422
"370","USC00041715","2667R",2667,"R",39.6911,-121.8211
"371","USC00041758","983R",983,"R",32.64,-117.0858
"372","USC00041806","3142R",3142,"R",38.9239,-122.5672
"373","USC00041838","4313R",4313,"R",38.8,-123.0175
"374","USC00041864","825S",825,"S",36.1356,-120.3606
"375","USC00041912","4704S",4704,"S",39.0911,-120.9481
"376","USC00041948","1784R",1784,"R",39.1875,-122.0269
"377","USC00042012","755S",755,"S",36.0975,-119.5817
"378","USC00042081","4246S",4246,"S",39.8158,-123.2444
"379","USC00042147","7124R",7124,"R",41.7958,-124.2147
"380","USC00042214","1393R",1393,"R",34.0053,-118.4136
"381","USC00042239","3341S",3341,"S",32.9897,-116.5872
"382","USC00042294","1960S",1960,"S",38.535,-121.7761
"383","USC00042319","236S",236,"S",36.4622,-116.8669
"384","USC00042331","683R",683,"R",37.3739,-117.9803
"385","USC00042402","6767R",6767,"R",39.8717,-121.6108
"386","USC00042467","3846R",3846,"R",39.3239,-120.2331
"387","USC00042500","6524S",6524,"S",39.5633,-120.8239
"388","USC00042506","1569S",1569,"S",39.9717,-120.0828
"389","USC00042574","6495R",6495,"R",41.1833,-122.2736
"390","USC00042598","410S",410,"S",33.8089,-115.4508
"391","USC00042640","2294R",2294,"R",39.3592,-122.5178
"392","USC00042671","5243R",5243,"R",38.7833,-120.0333
"393","USC00042706","1231R",1231,"R",32.8139,-116.975
"394","USC00042709","1638R",1638,"R",32.8839,-116.8164
"395","USC00042713","285S",285,"S",32.7669,-115.5617
"396","USC00042728","3232R",3232,"R",38.3306,-120.6706
"397","USC00042771","551S",551,"S",34.5892,-117.6303
"398","USC00042805","1244R",1244,"R",33.6692,-117.3319
"399","USC00042863","1500R",1500,"R",33.1211,-117.0883
"400","USC00042934","2481S",2481,"S",38.2736,-122.0678
"401","USC00042941","1676R",1676,"R",34.705,-118.4242
"402","USC00043083","840R",840,"R",36.3642,-120.1561
"403","USC00043157","1812R",1812,"R",41.52,-120.09
"404","USC00043161","4347R",4347,"R",39.5092,-123.7567
"405","USC00043261","1493S",1493,"S",36.9969,-119.7072
"406","USC00043417","2054R",2054,"R",37.0067,-121.5633
"407","USC00043463","2020S",2020,"S",35.7269,-118.7006
"408","USC00043489","399R",399,"R",32.8833,-114.8667
"409","USC00043551","4226R",4226,"R",36.7394,-118.9631
"410","USC00043573","5374S",5374,"S",39.2042,-121.0681
"411","USC00043578","4228C",4228,"C",38.4306,-122.8647
"412","USC00043647","5594R",5594,"R",40.4864,-123.9089
"413","USC00043710","733S",733,"S",36.1389,-117.9528
"414","USC00043714","2900R",2900,"R",37.4725,-122.4433
"415","USC00043747","896S",896,"S",36.3158,-119.6369
"416","USC00043824","1916R",1916,"R",40.9317,-121.5433
"417","USC00043855","486S",486,"S",33.7044,-115.6289
"418","USC00043875","4395S",4395,"S",38.6175,-122.8731
"419","USC00043896","1171S",1171,"S",33.7381,-116.8939
"420","USC00043914","2669S",2669,"S",33.2372,-116.7614
"421","USC00043939","3770S",3770,"S",37.9614,-119.7831
"422","USC00044025","1419R",1419,"R",36.8483,-121.4214
"423","USC00044176","4484R",4484,"R",37.2275,-119.2206
"424","USC00044211","2618R",2618,"R",33.7572,-116.7067
"425","USC00044223","290S",290,"S",32.8489,-115.5667
"426","USC00044232","548S",548,"S",36.7981,-118.2036
"427","USC00044278","494R",494,"R",35.6514,-117.8214
"428","USC00044297","401S",401,"S",34.1472,-115.1219
"429","USC00044374","1910R",1910,"R",41.2683,-120.2947
"430","USC00044500","4798S",4798,"S",37.9569,-122.5439
"431","USC00044523","1310R",1310,"R",35.7831,-118.4389
"432","USC00044555","1206S",1206,"S",36.2069,-121.1378
"433","USC00044577","7960R",7960,"R",41.5786,-124.0747
"434","USC00044647","1381R",1381,"R",33.5453,-117.7814
"435","USC00044671","3962R",3962,"R",34.2467,-117.1883
"436","USC00044712","2605S",2605,"S",38.4919,-122.0039
"437","USC00044713","7682R",7682,"R",39.3183,-120.6392
"438","USC00044735","1268R",1268,"R",32.7675,-117.0233
"439","USC00044838","1518R",1518,"R",41.7019,-121.5011
"440","USC00044881","1567R",1567,"R",37.9567,-119.1194
"441","USC00044890","1468S",1468,"S",36.3817,-119.0264
"442","USC00044957","1246S",1246,"S",36.2033,-119.0545
"443","USC00044997","1523S",1523,"S",37.6922,-121.7692
"444","USC00045026","4548R",4548,"R",36.6044,-118.7325
"445","USC00045032","1902R",1902,"R",38.1061,-121.2878
"446","USC00045064","1599S",1599,"S",34.6539,-120.4514
"447","USC00045118","995S",995,"S",37.0564,-120.8667
"448","USC00045120","886R",886,"R",36.9897,-120.9297
"449","USC00045123","2308R",2308,"R",37.2319,-121.9592
"450","USC00045233","1223R",1223,"R",36.9539,-120.0378
"451","USC00045311","4115R",4115,"R",40.5411,-121.5767
"452","USC00045360","2885S",2885,"S",38.4917,-122.1242
"453","USC00045378","2023S",2023,"S",38.0131,-122.1142
"454","USC00045449","4922R",4922,"R",41.2514,-122.1383
"455","USC00045502","315R",315,"R",33.5714,-116.0767
"456","USC00045532","1304R",1304,"R",37.2858,-120.5117
"457","USC00045679","5756R",5756,"R",40.3458,-121.6092
"458","USC00045721","1150R",1150,"R",34.9436,-115.5469
"459","USC00045756","667R",667,"R",35.0492,-118.1619
"460","USC00045790","1532R",1532,"R",34.0192,-118.1053
"461","USC00045795","2110S",2110,"S",36.5903,-121.91
"462","USC00045802","1784R",1784,"R",36.5928,-121.8556
"463","USC00045866","1748R",1748,"R",35.3672,-120.8456
"464","USC00045915","2504S",2504,"S",37.8792,-121.9303
"465","USC00045933","2613S",2613,"S",37.3436,-121.6425
"466","USC00046006","3598S",3598,"S",34.2308,-118.0711
"467","USC00046074","2771S",2771,"S",38.2778,-122.2647
"468","USC00046136","6239S",6239,"S",39.2467,-121.0008
"469","USC00046144","1509S",1509,"S",37.5147,-122.0325
"470","USC00046154","835R",835,"R",34.9456,-119.6828
"471","USC00046168","1159R",1159,"R",37.2811,-121.0178
