"","cdd","city","longitude","latitude","population"
"36",5394,"Long Beach",-118.1937395,33.7700504,"469428"
"37",4480,"Kansas City",-94.5785667,39.0997265,"467007"
"38",7839,"Mesa",-111.8314724,33.4151843,"457587"
"39",4624,"Virginia Beach",-75.977985,36.8529263,"448479"
"40",5077,"Atlanta",-84.3879824,33.7489954,"447841"
"41",2434,"Colorado Springs",-104.8213634,38.8338816,"439886"
"42",3504,"Omaha",-95.9979883,41.2523634,"434353"
"43",4862,"Raleigh",-78.6381787,35.7795897,"431746"
"44",9581,"Miami",-80.1917902,25.7616798,"417650"
"45",3436,"Oakland",-122.2711137,37.8043637,"406253"
"46",3140,"Minneapolis",-93.2650108,44.977753,"400070"
"47",5200,"Tulsa",-95.992775,36.1539816,"398121"
"48",3356,"Cleveland",-81.6943605,41.49932,"390113"
"49",4465,"Wichita",-97.336111,37.688889,"386552"
"50",6278,"Arlington",-97.1080656,32.735687,"379577"
"51",7427,"New Orleans",-90.0715323,29.9510658,"378715"
"52",5843,"Bakersfield",-119.0187125,35.3732921,"363630"
"53",8578,"Tampa",-82.4571776,27.950575,"352957"
"54",9904,"Honolulu",-157.8583333,21.3069444,"347884"
"55",2787,"Aurora",-104.8319195,39.7294319,"345803"
"56",5515,"Anaheim",-117.9145036,33.8352932,"345012"
"57",5693,"Santa Ana",-117.8678338,33.7455731,"334227"
"58",4553,"St. Louis",-90.1994042,38.6270025,"318416"
"59",6162,"Riverside",-117.3961564,33.9533487,"316619"
"60",8196,"Corpus Christi",-97.396381,27.8005828,"316381"
"61",3930,"Lexington-Fayette",-84.5037164,38.0405837,"308428"
"62",3130,"Pittsburgh",-79.9958864,40.4406248,"305841"
"63",880,"Anchorage",-149.9002778,61.2180556,"300950"
"64",4794,"Stockton",-121.2907796,37.9577016,"298118"
"65",3653,"Cincinnati",-84.5120196,39.1031182,"297517"
"66",2918,"St. Paul",-93.0899578,44.9537029,"294873"
"67",3405,"Toledo",-83.555212,41.6639383,"282313"
"68",4499,"Greensboro",-79.7919754,36.0726354,"279639"
"69",3735,"Newark",-74.1723667,40.735657,"278427"
"70",6223,"Plano",-96.6988856,33.0198431,"274409"
"71",6838,"Henderson",-114.9817213,36.0395247,"270811"
"72",3540,"Lincoln",-96.6851982,40.8257625,"268738"
"73",2579,"Buffalo",-78.8783689,42.8864468,"258959"
"74",3735,"Jersey City",-74.0776417,40.7281575,"257342"
"75",4949,"Chula Vista",-117.0841955,32.6400541,"256780"
"76",3099,"Fort Wayne",-85.1393513,41.079273,"256496"
"77",8539,"Orlando",-81.3792365,28.5383355,"255483"
"78",8847,"St. Petersburg",-82.64,27.773056,"249688"
"79",7839,"Chandler",-111.8412502,33.3061605,"249146"
"80",8940,"Laredo",-99.4803241,27.5305671,"248142"
"81",4742,"Norfolk",-76.2858726,36.8507689,"246139"
"82",4168,"Durham",-78.898619,35.9940329,"245475"
"83",2609,"Madison",-89.4012302,43.0730517,"243344"
"84",4964,"Lubbock",-101.8551665,33.5778631,"239538"
"85",5955,"Irvine",-117.7946942,33.6839473,"236716"
"86",4584,"Winston-Salem",-80.244216,36.0998596,"236441"
"87",8496,"Glendale",-112.1859866,33.5386523,"234632"
"88",6223,"Garland",-96.6388833,32.912624,"234566"
"89",9489,"Hialeah",-80.2781057,25.8575963,"233394"
"90",3076,"Reno",-119.8138027,39.5296329,"233294"
"91",4742,"Chesapeake",-76.2874927,36.7682088,"230571"
"92",7839,"Gilbert",-111.789027,33.3528264,"229972"
"93",6995,"Baton Rouge",-91.1403196,30.4582829,"229426"
"94",6594,"Irving",-96.9488945,32.8140177,"228653"
"95",7839,"Scottsdale",-111.9260519,33.4941704,"226918"
"96",7133,"North Las Vegas",-115.1175013,36.1988592,"226877"
"97",3625,"Fremont",-121.9885719,37.5482697,"224922"
"98",3133,"Boise City",-116.2146068,43.6187102,"214237"
"99",4519,"Richmond",-77.4360481,37.5407246,"214114"
"100",6102,"San Bernardino",-117.2897652,34.1083449,"213708"
"101",5567,"Birmingham",-86.80249,33.5206608,"212113"
"102",2185,"Spokane",-117.4260466,47.6587802,"210721"
"103",2555,"Rochester",-77.6109219,43.16103,"210358"
"104",3466,"Des Moines",-93.6091064,41.6005448,"207510"
"105",5259,"Modesto",-120.9968782,37.6390972,"204933"
"106",5006,"Fayetteville",-78.8783585,35.0526641,"204408"
"107",2246,"Tacoma",-122.4442906,47.2528768,"203446"
"108",4094,"Oxnard",-119.1770516,34.1975048,"203007"
"109",5712,"Fontana",-117.435048,34.0922335,"203003"
"110",6146,"Columbus",-84.9877094,32.4609764,"202824"
"111",6004,"Montgomery",-86.2999689,32.3668052,"201332"
"112",5712,"Moreno Valley",-117.2296717,33.9424658,"201175"
"113",6163,"Shreveport",-93.7501789,32.5251516,"200327"
"114",3170,"Aurora",-88.3200715,41.7605849,"199963"
"115",3191,"Yonkers",-73.8987469,40.9312099,"199766"
"116",3222,"Akron",-81.5190053,41.0814447,"198100"
"117",5107,"Huntington Beach",-117.9992265,33.660297,"197575"
"118",5561,"Little Rock",-92.2895948,34.7464809,"197357"
"119",6018,"Augusta-Richmond County",-82.0105148,33.4734978,"197350"
"120",4232,"Amarillo",-101.8312969,35.2219971,"196429"
"121",6217,"Glendale",-118.255075,34.1425078,"196021"
"122",6610,"Mobile",-88.0398912,30.6953657,"194899"
"123",2822,"Grand Rapids",-85.6680863,42.9633599,"192294"
"124",3764,"Salt Lake City",-111.8910474,40.7607793,"191180"
"125",6721,"Tallahassee",-84.2807329,30.4382559,"186411"
"126",5313,"Huntsville",-86.5861037,34.7303688,"186254"
"127",6594,"Grand Prairie",-96.9977846,32.7459645,"183372"
"128",4233,"Knoxville",-83.9207392,35.9606384,"183270"
"129",2417,"Worcester",-71.8022934,42.2625932,"182544"
"130",4588,"Newport News",-76.4730122,37.0870821,"182020"
"131",8994,"Brownsville",-97.4974838,25.9017472,"181860"
"132",4015,"Overland Park",-94.6707917,38.9822282,"181260"
"133",5542,"Santa Clarita",-118.542586,34.3916641,"179590"
"134",2961,"Providence",-71.4128343,41.8239891,"177994"
"135",5693,"Garden Grove",-117.9414477,33.7739053,"175140"
"136",4132,"Chattanooga",-85.3096801,35.0456297,"173366"
"137",3698,"Oceanside",-117.3794834,33.1958696,"172794"
"138",6082,"Jackson",-90.1848103,32.2987573,"172638"
"139",9529,"Fort Lauderdale",-80.1373174,26.1224386,"172389"
"140",3574,"Santa Rosa",-122.7140548,38.440429,"171990"
"141",5705,"Rancho Cucamonga",-117.5931084,34.1063989,"171386"
"142",9005,"Port St. Lucie",-80.3582261,27.2730492,"171016"
"143",7839,"Tempe",-111.9400054,33.4255104,"168228"
"144",5705,"Ontario",-117.6508876,34.0633443,"167500"
"145",2538,"Vancouver",-122.6614861,45.6387281,"167405"
"146",9182,"Cape Coral",-81.9495331,26.5628537,"165831"
"147",2694,"Sioux Falls",-96.7311034,43.5445959,"164676"
"148",4162,"Springfield",-93.2922989,37.2089572,"164122"
"149",8496,"Peoria",-112.2373779,33.5805955,"162592"
"150",9671,"Pembroke Pines",-80.2962555,26.007765,"162329"
"151",4405,"Elk Grove",-121.3716178,38.4087993,"161007"
"152",2283,"Salem",-123.0350963,44.9428975,"160614"
"153",5006,"Lancaster",-118.1541632,34.6867846,"159523"
"154",5071,"Corona",-117.5664384,33.8752935,"159503"
"155",2138,"Eugene",-123.0867536,44.0520691,"159190"
"156",5332,"Palmdale",-118.1164613,34.5794343,"157161"
"157",2810,"Salinas",-121.6555013,36.6777372,"155662"
"158",2571,"Springfield",-72.589811,42.1014831,"153703"
"159",7725,"Pasadena",-95.2091006,29.6910625,"152735"
"160",2655,"Fort Collins",-105.084423,40.5852602,"152061"
"161",3373,"Hayward",-122.0807964,37.6688205,"151574"
"162",5541,"Pomona",-117.7499909,34.055103,"151348"
"163",4636,"Cary",-78.7811169,35.79154,"151088"
"164",3048,"Rockford",-89.0939952,42.2711311,"150251"
"165",4416,"Alexandria",-77.0469214,38.8048355,"148892"
"166",5530,"Escondido",-117.086421,33.1192068,"148738"
"167",5243,"McKinney",-96.6397822,33.1972465,"148559"
"168",4480,"Kansas City",-94.6274636,39.114053,"148483"
"169",3189,"Joliet",-88.0817251,41.525031,"147806"
"170",3872,"Sunnyvale",-122.0363496,37.36883,"147559"
"171",4604,"Torrance",-118.3406288,33.8358492,"147478"
"172",3114,"Bridgeport",-73.1951767,41.1865478,"147216"
"173",2896,"Lakewood",-105.0813734,39.7047095,"147214"
"174",10094,"Hollywood",-80.1494901,26.0112014,"146526"
"175",3221,"Paterson",-74.171811,40.9167654,"145948"
"176",2827,"Naperville",-88.1535352,41.7508391,"144864"
"177",2617,"Syracuse",-76.1474244,43.0481221,"144669"
"178",6785,"Mesquite",-96.5991593,32.7667955,"143484"
"179",3851,"Dayton",-84.1916069,39.7589478,"143355"
"180",6435,"Savannah",-81.0998342,32.0835407,"142772"
"181",4730,"Clarksville",-87.3594528,36.5297706,"142357"
"182",5693,"Orange",-117.8531119,33.7877944,"139969"
"183",6217,"Pasadena",-118.1445155,34.1477849,"139731"
"184",5515,"Fullerton",-117.9242966,33.8703596,"138981"
"185",6356,"Killeen",-97.7277959,31.1171194,"137147"
"186",5243,"Frisco",-96.8236116,33.1506744,"136791"
"187",4588,"Hampton",-76.3452218,37.0298687,"136699"
"188",9050,"McAllen",-98.2300124,26.2034071,"136639"
"189",3032,"Warren",-83.0146526,42.5144566,"134873"
"190",2228,"Bellevue",-122.2006786,47.610377,"133992"
"191",3423,"West Valley City",-112.0010501,40.6916132,"133579"
"192",6506,"Columbia",-81.0348144,34.0007104,"133358"
"193",4015,"Olathe",-94.8191285,38.8813958,"131885"
"194",2539,"Sterling Heights",-83.0302033,42.5803122,"131224"
"195",2996,"New Haven",-72.9278835,41.308274,"130660"
"196",9671,"Miramar",-80.3035602,25.9860762,"130288"
"197",6560,"Waco",-97.1466695,31.549333,"129030"
"198",3877,"Thousand Oaks",-118.8375937,34.1705609,"128731"
"199",3324,"Cedar Rapids",-91.6656232,41.9778795,"128429"
"200",6375,"Charleston",-79.9310512,32.7764749,"127999"
"201",5211,"Visalia",-119.2920585,36.3302284,"127763"
"202",4082,"Topeka",-95.6890185,39.0558235,"127679"
"203",3735,"Elizabeth",-74.2107006,40.6639916,"127558"
"204",7045,"Gainesville",-82.3248262,29.6516344,"127488"
"205",3159,"Thornton",-104.9719243,39.8680412,"127359"
"206",4873,"Roseville",-121.2880059,38.7521235,"127035"
"207",6785,"Carrollton",-96.8899636,32.9756415,"126700"
"208",9238,"Coral Springs",-80.2706044,26.271192,"126604"
"209",3123,"Stamford",-73.5387341,41.0534302,"126456"
"210",5293,"Simi Valley",-118.781482,34.2694474,"126181"
"211",4136,"Concord",-122.0310733,37.9779776,"125880"
"212",3036,"Hartford",-72.6850932,41.7637111,"125017"
"213",2236,"Kent",-122.2348431,47.3809335,"124435"
"214",7247,"Lafayette",-92.0198427,30.2240897,"124276"
"215",6193,"Midland",-102.0779146,31.9973456,"123933"
"216",8496,"Surprise",-112.3679279,33.6292337,"123546"
"217",6108,"Denton",-97.1330683,33.2148412,"123099"
"218",5058,"Victorville",-117.2927641,34.5362184,"121096"
"219",5060,"Evansville",-87.5710898,37.9715592,"120310"
"220",4013,"Santa Clara",-121.9552356,37.3541079,"120245"
"221",6019,"Abilene",-99.7331439,32.4487364,"120099"
"222",5285,"Athens-Clarke County",-83.357567,33.9519347,"119980"
"223",2773,"Vallejo",-122.2566367,38.1040864,"118837"
"224",2993,"Allentown",-75.4901833,40.6084305,"118577"
"225",5008,"Norman",-97.4394777,35.2225668,"118197"
"226",7077,"Beaumont",-94.1265562,30.080174,"117796"
"227",3922,"Independence",-94.4155068,39.0911161,"117240"
"228",4454,"Murfreesboro",-86.39027,35.8456213,"117044"
"229",2925,"Ann Arbor",-83.7430378,42.2808256,"117025"
"230",3666,"Springfield",-89.6501481,39.7817213,"117006"
"231",3075,"Berkeley",-122.272747,37.8715926,"116768"
"232",3486,"Peoria",-89.5889864,40.6936488,"116513"
"233",3429,"Provo",-111.6585337,40.2338438,"116288"
"234",5608,"El Monte",-118.0275667,34.0686206,"115708"
"235",4211,"Columbia",-92.3340724,38.9517053,"115276"
"236",2675,"Lansing",-84.5555347,42.732535,"113972"
"237",2500,"Fargo",-96.7898034,46.8771863,"113658"
"238",6370,"Downey",-118.1331593,33.9401088,"113242"
"239",4347,"Costa Mesa",-117.9186689,33.6411316,"112174"
"240",5653,"Wilmington",-77.9447102,34.2257255,"112067"
"241",2547,"Arvada",-105.0874842,39.8027644,"111707"
"242",4616,"Inglewood",-118.3531311,33.9616801,"111542"
"243",9665,"Miami Gardens",-80.2456045,25.9420377,"111378"
"244",3913,"Carlsbad",-117.3505939,33.1580933,"110972"
"245",3159,"Westminster",-105.0372046,39.8366528,"110945"
"246",2586,"Rochester",-92.4801989,44.0121221,"110742"
"247",6053,"Odessa",-102.3676431,31.8456816,"110720"
"248",2556,"Manchester",-71.4547891,42.9956397,"110378"
"249",2926,"Elgin",-88.2825668,42.0354084,"110145"
"250",3421,"West Jordan",-111.9391031,40.6096698,"110077"
"251",6536,"Round Rock",-97.678896,30.5082551,"109821"
"252",8691,"Clearwater",-82.8001026,27.9658533,"109703"
"253",2323,"Waterbury",-73.0514965,41.5581525,"109676"
"254",2385,"Gresham",-122.4302013,45.5001357,"109397"
"255",4335,"Fairfield",-122.0399663,38.2493581,"109320"
"256",2689,"Billings",-108.5006904,45.7832856,"109059"
"257",2610,"Lowell",-71.3161718,42.6334247,"108861"
"258",3648,"San Buenaventura (Ventura)",-119.2290316,34.274646,"108817"
"259",3544,"Pueblo",-104.6091409,38.2544472,"108249"
"260",4830,"High Point",-80.0053176,35.9556923,"107741"
"261",5608,"West Covina",-117.9389526,34.0686208,"107740"
"262",3237,"Richmond",-122.3477486,37.9357576,"107571"
"263",5713,"Murrieta",-117.2139232,33.5539143,"107479"
"264",2856,"Cambridge",-71.1097335,42.3736158,"107289"
"265",4547,"Antioch",-121.805789,38.0049214,"107100"
"266",5463,"Temecula",-117.1483648,33.4936391,"106780"
"267",5515,"Norwalk",-118.081733,33.9022367,"106589"
"268",2562,"Centennial",-104.8771726,39.5807452,"106114"
"269",1879,"Everett",-122.2020794,47.9789848,"105370"
"270",8208,"Palm Bay",-80.5886646,28.0344621,"104898"
"271",5788,"Wichita Falls",-98.4933873,33.9137085,"104898"
"272",2180,"Green Bay",-88.019826,44.519159,"104779"
"273",2027,"Daly City",-122.4702079,37.6879241,"104739"
"274",5202,"Burbank",-118.3089661,34.1808392,"104709"
"275",6785,"Richardson",-96.7298519,32.9483335,"104475"
"276",9630,"Pompano Beach",-80.1247667,26.2378597,"104410"
"277",6179,"North Charleston",-79.9748103,32.8546197,"104054"
"278",4873,"Broken Arrow",-95.7974526,36.060949,"103500"
"279",2809,"Boulder",-105.2705456,40.0149856,"103166"
"280",9270,"West Palm Beach",-80.0533746,26.7153424,"102436"
"281",2891,"Santa Maria",-120.4357191,34.9530337,"102216"
"282",5606,"El Cajon",-116.9625269,32.7947731,"102211"
"283",3605,"Davenport",-90.5776367,41.5236437,"102157"
"284",6102,"Rialto",-117.3703235,34.1064001,"101910"
"285",5175,"Las Cruces",-106.7636538,32.3199396,"101324"
"286",3098,"San Mateo",-122.3255254,37.5629917,"101128"
"287",6096,"Lewisville",-96.994174,33.046233,"101074"
"288",2983,"South Bend",-86.2519898,41.6763545,"100886"
"289",8763,"Lakeland",-81.9498042,28.0394654,"100710"
"290",2799,"Erie",-80.085059,42.1292241,"100671"
"291",6202,"Tyler",-95.3010624,32.3512601,"100223"
"292",7280,"Pearland",-95.2860474,29.5635666,"100065"
"293",7240,"College Station",-96.3344068,30.627977,"100050"
"294",2548,"Kenosha",-87.8211854,42.5847425,"99889"
"295",5074,"Sandy Springs",-84.3733147,33.9304352,"99770"
"296",5601,"Clovis",-119.7029194,36.8252277,"99769"
"297",2509,"Flint",-83.6874562,43.0125274,"99763"
"298",3997,"Roanoke",-79.9414266,37.2709704,"98465"
"299",2649,"Albany",-73.7562317,42.6525793,"98424"
"300",5837,"Jurupa Valley",-117.4854802,33.9971974,"98030"
"301",5154,"Compton",-118.2200712,33.8958492,"97877"
"302",6009,"San Angelo",-100.4370375,31.4637723,"97492"
"303",2710,"Hillsboro",-122.989827,45.5228939,"97368"
"304",5611,"Lawton",-98.3959291,34.6035669,"97151"
"305",2194,"Renton",-122.2170661,47.4828776,"97003"
"306",4814,"Vista",-117.2425355,33.2000368,"96929"
"307",9327,"Davie",-80.2521157,26.0764783,"96830"
"308",3339,"Greeley",-104.7091322,40.4233142,"96539"
"309",4942,"Mission Viejo",-117.6719953,33.6000232,"96346"
"310",4742,"Portsmouth",-76.2982742,36.8354258,"96205"
"311",3000,"Dearborn",-83.1763145,42.3222599,"95884"
"312",5648,"South Gate",-118.2120161,33.954737,"95677"
"313",6029,"Tuscaloosa",-87.5691735,33.2098407,"95334"
"314",3000,"Livonia",-83.3527097,42.36837,"95208"
"315",3032,"New Bedford",-70.934205,41.6362152,"95078"
"316",4518,"Vacaville",-121.9877444,38.3565773,"94275"
"317",2507,"Brockton",-71.0183787,42.0834335,"94089"
"318",4331,"Roswell",-84.3615555,34.0232431,"94034"
"319",2415,"Beaverton",-122.8037102,45.487062,"93542"
"320",2744,"Quincy",-71.0022705,42.2528772,"93494"
"321",2716,"Sparks",-119.7526886,39.5349112,"93282"
"322",2927,"Yakima",-120.5058987,46.6020711,"93257"
"323",3884,"Lee's Summit",-94.3821724,38.9108408,"93184"
"324",2246,"Federal Way",-122.3126222,47.3223221,"92734"
"325",4604,"Carson",-118.281693,33.8316745,"92599"
"326",4237,"Santa Monica",-118.4911912,34.0194543,"92472"
"327",5058,"Hesperia",-117.3008784,34.4263886,"92147"
"328",5886,"Allen",-96.6705503,33.1031744,"92020"
"329",3205,"Rio Rancho",-106.6630437,35.2327544,"91956"
"330",9493,"Yuma",-114.6276916,32.6926512,"91923"
"331",5693,"Westminster",-117.9939921,33.7513419,"91739"
"332",3310,"Orem",-111.6946475,40.2968979,"91648"
"333",2442,"Lynn",-70.9494938,42.466763,"91589"
"334",4989,"Redding",-122.3916754,40.5865396,"91119"
"335",2185,"Spokane Valley",-117.2393748,47.6732281,"91113"
"336",9581,"Miami Beach",-80.1300455,25.790654,"91026"
"337",6954,"League City",-95.0949303,29.5074538,"90983"
"338",3953,"Lawrence",-95.2352501,38.9716689,"90811"
"339",4286,"Santa Barbara",-119.6981901,34.4208305,"90412"
"340",9327,"Plantation",-80.2331036,26.1275862,"90268"
"341",3421,"Sandy",-111.8389726,40.5649781,"90231"
"342",9327,"Sunrise",-80.256595,26.1669711,"90116"
"343",5814,"Macon",-83.6324022,32.8406946,"89981"
"344",2508,"Longmont",-105.1019275,40.1672068,"89919"
"345",9465,"Boca Raton",-80.1289321,26.3683064,"89407"
"346",5530,"San Marcos",-117.1661449,33.1433723,"89387"
"347",5124,"Greenville",-77.3663538,35.612661,"89130"
"348",2758,"Waukegan",-87.8447938,42.3636331,"88826"
"349",2959,"Fall River",-71.1550451,41.7014912,"88697"
"350",4544,"Chico",-121.8374777,39.7284944,"88077"
"351",2856,"Newton",-71.2092214,42.3370413,"87971"
"352",2919,"San Leandro",-122.1560768,37.7249296,"87965"
"353",3261,"Reading",-75.9268747,40.3356483,"87893"
"354",3123,"Norwalk",-73.4081575,41.117744,"87776"
"355",5322,"Fort Smith",-94.3985475,35.3859242,"87650"
"356",4347,"Newport Beach",-117.9289469,33.6189101,"87273"
"357",3779,"Asheville",-82.5514869,35.5950581,"87236"
"358",2483,"Nashua",-71.467566,42.7653662,"87137"
"359",4939,"Edmond",-97.4780954,35.6528323,"87004"
"360",6370,"Whittier",-118.032844,33.9791793,"86635"
"361",2889,"Nampa",-116.5634624,43.5407172,"86518"
"362",2831,"Bloomington",-93.2982799,44.840798,"86319"
"363",8344,"Deltona",-81.2636738,28.9005446,"86290"
"364",5154,"Hawthorne",-118.3525748,33.9164032,"86199"
"365",1451,"Duluth",-92.1004852,46.7866719,"86128"
"366",3322,"Carmel",-86.1180435,39.978371,"85927"
"367",4613,"Suffolk",-76.5835621,36.7282054,"85728"
"368",3221,"Clifton",-74.1637553,40.8584328,"85390"
"369",4873,"Citrus Heights",-121.2810611,38.7071247,"85285"
"370",4108,"Livermore",-121.7680088,37.6818745,"85156"
"371",4971,"Tracy",-121.4252227,37.7396513,"84691"
"372",5608,"Alhambra",-118.1270146,34.095287,"84577"
"373",2099,"Kirkland",-122.2087353,47.6814875,"84430"
"374",3374,"Trenton",-74.7429384,40.2170534,"84349"
"375",3301,"Ogden",-111.9738304,41.223,"84249"
"376",5361,"Hoover",-86.8113781,33.4053867,"84126"
"377",3400,"Cicero",-87.7539448,41.8455877,"84103"
"378",3322,"Fishers",-86.01335,39.9567548,"83891"
"379",7957,"Sugar Land",-95.6349463,29.6196787,"83860"
"380",3045,"Danbury",-73.4540111,41.394817,"83684"
"381",3133,"Meridian",-116.3915131,43.6121087,"83596"
"382",9432,"Indio",-116.2155619,33.7205771,"83539"
"383",4816,"Concord",-80.579511,35.4087517,"83506"
"384",5463,"Menifee",-117.185294,33.6971468,"83447"
"385",3452,"Champaign",-88.2433829,40.1164204,"83424"
"386",5515,"Buena Park",-117.9981181,33.8675143,"82882"
"387",2614,"Troy",-83.1497751,42.6064095,"82821"
"388",4035,"O'Fallon",-90.6998477,38.8106075,"82809"
"389",4331,"Johns Creek",-84.198579,34.0289259,"82788"
"390",1801,"Bellingham",-122.4781473,48.74908,"82631"
"391",3033,"Westland",-83.400211,42.324204,"82578"
"392",3624,"Bloomington",-86.5263857,39.165325,"82575"
"393",3083,"Sioux City",-96.4003069,42.4999942,"82459"
"394",2961,"Warwick",-71.4161671,41.7001009,"81971"
"395",5416,"Hemet",-116.9719684,33.7475203,"81750"
"396",6140,"Longview",-94.7404891,32.5007037,"81443"
"397",2614,"Farmington Hills",-83.3677168,42.4989936,"81295"
"398",1551,"Bend",-121.3153096,44.0581728,"81236"
"399",5394,"Lakewood",-118.1339563,33.8536269,"81121"
"400",4858,"Merced",-120.4829677,37.3021632,"81102"
"401",9283,"Mission",-98.3252932,26.2159066,"81050"
"402",5071,"Chino",-117.688944,34.0122346,"80988"
"403",3612,"Redwood City",-122.2363548,37.4852152,"80872"
"404",9050,"Edinburg",-98.1633432,26.3017374,"80836"
"405",2961,"Cranston",-71.4372796,41.7798226,"80566"
"406",3131,"Parma",-81.7229086,41.4047742,"80429"
"407",3191,"New Rochelle",-73.7823549,40.9114882,"79446"
"408",4942,"Lake Forest",-117.689218,33.6469661,"79312"
"409",3776,"Napa",-122.286865,38.2975381,"79068"
"410",3179,"Hammond",-87.5000412,41.5833688,"78967"
"411",4466,"Fayetteville",-94.1574263,36.0625795,"78960"
"412",3380,"Bloomington",-88.9936873,40.4842027,"78902"
"413",8168,"Avondale",-112.3496021,33.4355977,"78822"
"414",2936,"Somerville",-71.0994968,42.3875968,"78804"
"415",7180,"Palm Coast",-81.2078699,29.5844524,"78740"
"416",7240,"Bryan",-96.3699632,30.6743643,"78709"
"417",3005,"Gary",-87.3464271,41.5933696,"78450"
"418",8691,"Largo",-82.7873244,27.9094665,"78409"
"419",2722,"Brooklyn Park",-93.3563405,45.0941315,"78373"
"420",5693,"Tustin",-117.826166,33.7458511,"78327"
"421",2492,"Racine",-87.7828523,42.7261309,"78199"
"422",9465,"Deerfield Beach",-80.0997657,26.3184123,"78041"
"423",3440,"Lynchburg",-79.1422464,37.4137536,"78014"
"424",3872,"Mountain View",-122.0838511,37.3860517,"77846"
"425",2483,"Medford",-122.8755949,42.3265152,"77677"
"426",2842,"Lawrence",-71.1631137,42.7070354,"77657"
"427",5394,"Bellflower",-118.1170117,33.8816818,"77593"
"428",8208,"Melbourne",-80.6081089,28.0836269,"77508"
"429",3771,"St. Joseph",-94.846681,39.7674578,"77147"
"430",4179,"Camden",-75.1196199,39.9259463,"76903"
"431",5844,"St. George",-113.5684164,37.0965278,"76817"
"432",3383,"Kennewick",-119.1372338,46.2112458,"76762"
"433",5608,"Baldwin Park",-117.9608978,34.0852868,"76635"
"434",5071,"Chino Hills",-117.7325848,33.9898188,"76572"
"435",3436,"Alameda",-122.2416355,37.7652065,"76419"
"436",6308,"Albany",-84.155741,31.5785074,"76185"
"437",2949,"Arlington Heights",-87.9806265,42.0883603,"75994"
"438",2694,"Scranton",-75.6624122,41.408969,"75806"
"439",3131,"Evanston",-87.6876969,42.0450722,"75570"
"440",2824,"Kalamazoo",-85.5872286,42.2917069,"75548"
"441",7262,"Baytown",-94.9774274,29.7355047,"75418"
"442",5705,"Upland",-117.6483876,34.09751,"75413"
"443",4466,"Springdale",-94.1288141,36.1867442,"75229"
"444",2993,"Bethlehem",-75.3704579,40.6259316,"75018"
"445",2792,"Schaumburg",-88.0834059,42.0333607,"74907"
"446",6143,"Mount Pleasant",-79.8284258,32.8323225,"74885"
"447",2236,"Auburn",-122.2284532,47.3073228,"74860"
"448",3824,"Decatur",-88.9548001,39.8403147,"74710"
"449",3711,"San Ramon",-121.9780153,37.7799273,"74513"
"450",3862,"Pleasanton",-121.8746789,37.6624312,"74110"
"451",2822,"Wyoming",-85.7053085,42.9133602,"74100"
"452",7018,"Lake Charles",-93.2173758,30.2265949,"74024"
"453",2686,"Plymouth",-93.4555093,45.0105194,"73987"
"454",3167,"Bolingbrook",-88.0683955,41.6986416,"73936"
"455",9050,"Pharr",-98.1836216,26.1947962,"73790"
"456",2568,"Appleton",-88.4153847,44.2619309,"73596"
